n:1 mse_avg:5.81 mse_y:6.13 mse_u:5.59 mse_v:4.73 psnr_avg:40.49 psnr_y:40.25 psnr_u:40.66 psnr_v:41.38 
n:2 mse_avg:10.24 mse_y:11.88 mse_u:8.27 mse_v:5.64 psnr_avg:38.03 psnr_y:37.38 psnr_u:38.95 psnr_v:40.62 
n:3 mse_avg:7.98 mse_y:8.60 mse_u:7.62 mse_v:5.83 psnr_avg:39.11 psnr_y:38.78 psnr_u:39.31 psnr_v:40.48 
n:4 mse_avg:10.67 mse_y:12.18 mse_u:9.10 mse_v:6.21 psnr_avg:37.85 psnr_y:37.28 psnr_u:38.54 psnr_v:40.20 
n:5 mse_avg:7.10 mse_y:7.66 mse_u:6.50 mse_v:5.44 psnr_avg:39.62 psnr_y:39.29 psnr_u:40.00 psnr_v:40.77 
n:6 mse_avg:10.34 mse_y:11.79 mse_u:8.89 mse_v:6.00 psnr_avg:37.99 psnr_y:37.42 psnr_u:38.64 psnr_v:40.35 
n:7 mse_avg:7.50 mse_y:8.07 mse_u:7.24 mse_v:5.52 psnr_avg:39.38 psnr_y:39.06 psnr_u:39.53 psnr_v:40.71 
n:8 mse_avg:9.98 mse_y:11.41 mse_u:8.56 mse_v:5.69 psnr_avg:38.14 psnr_y:37.56 psnr_u:38.80 psnr_v:40.58 
n:9 mse_avg:6.25 mse_y:6.69 mse_u:5.80 mse_v:4.95 psnr_avg:40.17 psnr_y:39.88 psnr_u:40.50 psnr_v:41.19 
n:10 mse_avg:10.11 mse_y:11.56 mse_u:8.58 mse_v:5.81 psnr_avg:38.08 psnr_y:37.50 psnr_u:38.80 psnr_v:40.49 
n:11 mse_avg:7.97 mse_y:8.58 mse_u:7.70 mse_v:5.79 psnr_avg:39.12 psnr_y:38.79 psnr_u:39.26 psnr_v:40.51 
n:12 mse_avg:10.31 mse_y:11.66 mse_u:9.13 mse_v:6.10 psnr_avg:38.00 psnr_y:37.46 psnr_u:38.53 psnr_v:40.28 
n:13 mse_avg:7.21 mse_y:7.68 mse_u:6.92 mse_v:5.61 psnr_avg:39.55 psnr_y:39.28 psnr_u:39.73 psnr_v:40.64 
n:14 mse_avg:10.99 mse_y:12.40 mse_u:9.86 mse_v:6.47 psnr_avg:37.72 psnr_y:37.20 psnr_u:38.19 psnr_v:40.02 
n:15 mse_avg:8.25 mse_y:8.80 mse_u:8.10 mse_v:6.23 psnr_avg:38.96 psnr_y:38.69 psnr_u:39.05 psnr_v:40.19 
n:16 mse_avg:10.80 mse_y:12.29 mse_u:9.31 mse_v:6.36 psnr_avg:37.79 psnr_y:37.24 psnr_u:38.44 psnr_v:40.10 
n:17 mse_avg:7.44 mse_y:7.75 mse_u:7.60 mse_v:6.02 psnr_avg:39.42 psnr_y:39.24 psnr_u:39.32 psnr_v:40.34 
n:18 mse_avg:11.08 mse_y:12.58 mse_u:9.51 mse_v:6.62 psnr_avg:37.69 psnr_y:37.13 psnr_u:38.35 psnr_v:39.92 
n:19 mse_avg:8.39 mse_y:8.84 mse_u:8.48 mse_v:6.48 psnr_avg:38.89 psnr_y:38.67 psnr_u:38.85 psnr_v:40.01 
n:20 mse_avg:11.29 mse_y:12.79 mse_u:9.81 mse_v:6.76 psnr_avg:37.61 psnr_y:37.06 psnr_u:38.22 psnr_v:39.83 
n:21 mse_avg:7.49 mse_y:7.95 mse_u:7.09 mse_v:6.08 psnr_avg:39.38 psnr_y:39.13 psnr_u:39.63 psnr_v:40.29 
n:22 mse_avg:11.26 mse_y:12.70 mse_u:9.93 mse_v:6.81 psnr_avg:37.62 psnr_y:37.09 psnr_u:38.16 psnr_v:39.80 
n:23 mse_avg:8.71 mse_y:9.11 mse_u:8.93 mse_v:6.91 psnr_avg:38.73 psnr_y:38.54 psnr_u:38.62 psnr_v:39.74 
n:24 mse_avg:11.96 mse_y:13.57 mse_u:10.39 mse_v:7.09 psnr_avg:37.35 psnr_y:36.81 psnr_u:37.97 psnr_v:39.62 
n:25 mse_avg:7.57 mse_y:7.97 mse_u:7.17 mse_v:6.38 psnr_avg:39.34 psnr_y:39.12 psnr_u:39.57 psnr_v:40.09 
n:26 mse_avg:12.62 mse_y:14.35 mse_u:10.89 mse_v:7.45 psnr_avg:37.12 psnr_y:36.56 psnr_u:37.76 psnr_v:39.41 
n:27 mse_avg:9.34 mse_y:9.63 mse_u:10.04 mse_v:7.50 psnr_avg:38.43 psnr_y:38.29 psnr_u:38.11 psnr_v:39.38 
n:28 mse_avg:13.02 mse_y:14.68 mse_u:11.65 mse_v:7.77 psnr_avg:36.98 psnr_y:36.46 psnr_u:37.47 psnr_v:39.23 
n:29 mse_avg:8.54 mse_y:8.83 mse_u:8.75 mse_v:7.18 psnr_avg:38.82 psnr_y:38.67 psnr_u:38.71 psnr_v:39.57 
n:30 mse_avg:13.20 mse_y:14.92 mse_u:11.71 mse_v:7.82 psnr_avg:36.92 psnr_y:36.39 psnr_u:37.45 psnr_v:39.20 
n:31 mse_avg:9.42 mse_y:9.84 mse_u:9.86 mse_v:7.34 psnr_avg:38.39 psnr_y:38.20 psnr_u:38.19 psnr_v:39.47 
n:32 mse_avg:12.92 mse_y:14.88 mse_u:10.75 mse_v:7.23 psnr_avg:37.02 psnr_y:36.40 psnr_u:37.82 psnr_v:39.54 
n:33 mse_avg:7.46 mse_y:7.49 mse_u:8.32 mse_v:6.46 psnr_avg:39.40 psnr_y:39.39 psnr_u:38.93 psnr_v:40.03 
n:34 mse_avg:13.19 mse_y:15.10 mse_u:11.31 mse_v:7.46 psnr_avg:36.93 psnr_y:36.34 psnr_u:37.60 psnr_v:39.40 
