n:39 mse_avg:8.28 mse_y:9.22 mse_u:7.19 mse_v:5.59 psnr_avg:38.95 psnr_y:38.48 psnr_u:39.57 psnr_v:40.65 
n:40 mse_avg:8.33 mse_y:9.30 mse_u:7.18 mse_v:5.61 psnr_avg:38.92 psnr_y:38.44 psnr_u:39.57 psnr_v:40.64 
n:41 mse_avg:8.32 mse_y:9.34 mse_u:7.03 mse_v:5.57 psnr_avg:38.93 psnr_y:38.43 psnr_u:39.66 psnr_v:40.67 
n:42 mse_avg:8.17 mse_y:9.17 mse_u:6.90 mse_v:5.46 psnr_avg:39.01 psnr_y:38.51 psnr_u:39.74 psnr_v:40.76 
n:43 mse_avg:8.20 mse_y:9.20 mse_u:6.92 mse_v:5.47 psnr_avg:38.99 psnr_y:38.49 psnr_u:39.73 psnr_v:40.75 
n:44 mse_avg:8.25 mse_y:9.26 mse_u:6.92 mse_v:5.53 psnr_avg:38.97 psnr_y:38.47 psnr_u:39.73 psnr_v:40.70 
n:45 mse_avg:8.29 mse_y:9.31 mse_u:6.95 mse_v:5.55 psnr_avg:38.95 psnr_y:38.44 psnr_u:39.71 psnr_v:40.69 
n:46 mse_avg:8.21 mse_y:9.16 mse_u:7.07 mse_v:5.56 psnr_avg:38.99 psnr_y:38.51 psnr_u:39.64 psnr_v:40.68 
n:47 mse_avg:8.34 mse_y:9.35 mse_u:7.14 mse_v:5.50 psnr_avg:38.92 psnr_y:38.42 psnr_u:39.60 psnr_v:40.72 
n:48 mse_avg:8.30 mse_y:9.28 mse_u:7.16 mse_v:5.50 psnr_avg:38.94 psnr_y:38.46 psnr_u:39.58 psnr_v:40.73 
n:49 mse_avg:7.62 mse_y:8.12 mse_u:7.52 mse_v:5.75 psnr_avg:39.31 psnr_y:39.04 psnr_u:39.37 psnr_v:40.53 
n:50 mse_avg:8.48 mse_y:9.41 mse_u:7.42 mse_v:5.79 psnr_avg:38.85 psnr_y:38.39 psnr_u:39.42 psnr_v:40.50 
n:51 mse_avg:8.32 mse_y:9.25 mse_u:7.25 mse_v:5.64 psnr_avg:38.93 psnr_y:38.47 psnr_u:39.53 psnr_v:40.61 
