Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.980684,0.956182,0.968222,0.984940,0.992759,0.514389,0.979712,0.989856,0.993689,92.566948,
1,2.993110,2.993110,0.981236,0.953026,0.968853,0.986148,0.994066,0.459219,0.974137,0.988350,0.993265,96.303039,
2,2.483001,3.001437,0.981349,0.950385,0.968882,0.986724,0.994888,0.457848,0.975244,0.989192,0.993770,95.806983,
3,2.267103,2.483001,0.982474,0.953178,0.970487,0.987867,0.995109,0.460962,0.975746,0.989605,0.994304,95.849914,
4,2.267103,2.267103,0.983532,0.954908,0.972533,0.988939,0.995274,0.458713,0.976242,0.989931,0.994402,96.105764,
5,2.503249,2.503249,0.982805,0.953479,0.970905,0.988293,0.995288,0.459696,0.976207,0.990016,0.994517,96.241822,
6,2.741719,3.190380,0.983368,0.953680,0.971670,0.988540,0.996215,0.458722,0.976033,0.989864,0.994377,96.629470,
7,2.741719,2.741719,0.982879,0.954174,0.971315,0.988080,0.995229,0.459601,0.976213,0.989985,0.994471,96.536308,
8,2.149224,3.160897,0.983547,0.954062,0.972448,0.988506,0.995869,0.457751,0.975646,0.989445,0.994003,95.914031,
9,2.149224,2.149224,0.983923,0.954472,0.972420,0.988975,0.996385,0.458343,0.976048,0.989835,0.994300,96.036657,
10,2.891053,2.891053,0.982717,0.953367,0.970811,0.987806,0.995290,0.460598,0.975755,0.989623,0.994222,96.638958,
11,2.969662,2.969662,0.982918,0.952968,0.970212,0.987896,0.996158,0.457529,0.976053,0.989926,0.994422,96.810560,
12,2.913586,3.048843,0.981021,0.956024,0.968866,0.984934,0.993146,0.512683,0.979620,0.989790,0.993607,96.198084,
13,2.913586,2.913586,0.982417,0.953174,0.969721,0.987504,0.995147,0.458419,0.974447,0.988559,0.993260,96.474816,
14,2.974712,3.248104,0.982093,0.952070,0.968862,0.987019,0.995785,0.459232,0.975187,0.989271,0.993817,96.555079,
15,2.974712,2.974712,0.982993,0.954054,0.970744,0.988162,0.995642,0.457064,0.975770,0.989709,0.994107,96.797319,
16,3.126451,3.530510,0.982531,0.953406,0.969624,0.988065,0.995442,0.460321,0.975653,0.989655,0.994061,96.865392,
17,2.670191,3.126451,0.983831,0.953525,0.972851,0.988676,0.996625,0.458536,0.976155,0.989768,0.994147,96.622453,
18,2.335353,2.670191,0.983065,0.952870,0.970801,0.988808,0.995744,0.458054,0.976083,0.989851,0.994193,96.066910,
19,2.335353,2.335353,0.983693,0.954620,0.972175,0.989286,0.995615,0.457913,0.976008,0.989764,0.994155,96.195135,
20,3.128903,3.144007,0.983291,0.953828,0.970756,0.988213,0.996341,0.459650,0.975799,0.989600,0.994105,97.034787,
21,3.128903,3.128903,0.984160,0.954468,0.972876,0.989338,0.996351,0.457106,0.976381,0.990132,0.994399,97.275331,
22,2.817437,3.360403,0.983972,0.953781,0.972675,0.988962,0.996559,0.457489,0.976378,0.990093,0.994326,96.858802,
23,2.817437,2.817437,0.983337,0.954047,0.971776,0.987573,0.996308,0.457088,0.975843,0.989640,0.994103,96.682282,
24,2.958421,2.958421,0.980794,0.955924,0.969428,0.984329,0.992694,0.512770,0.979693,0.989863,0.993749,96.217808,
25,3.111724,3.786428,0.980918,0.952700,0.968632,0.985953,0.993540,0.457388,0.974165,0.988281,0.993215,96.370105,
26,3.029972,3.111724,0.982505,0.953303,0.970736,0.987617,0.995223,0.456965,0.975210,0.989148,0.993835,96.708524,
27,3.029972,3.029972,0.983715,0.954449,0.973304,0.988668,0.995687,0.458038,0.975717,0.989433,0.994038,96.998858,
28,3.138617,3.583854,0.983000,0.952584,0.971139,0.988620,0.995521,0.456086,0.975808,0.989727,0.994073,96.991740,
29,3.033898,3.138617,0.983682,0.954717,0.972065,0.989203,0.995558,0.457061,0.976408,0.990010,0.994583,97.069811,
30,3.033898,3.033898,0.982077,0.952614,0.970309,0.986936,0.994975,0.456603,0.975910,0.989849,0.994457,96.705362,
31,3.269338,3.330955,0.983436,0.954557,0.972615,0.988738,0.995178,0.457222,0.976116,0.989834,0.994373,97.268082,
32,3.269338,3.269338,0.983927,0.954570,0.972947,0.989096,0.996096,0.455001,0.976372,0.990130,0.994611,97.410615,
33,2.486100,3.478899,0.983188,0.954891,0.972189,0.988216,0.995135,0.458043,0.975784,0.989615,0.994035,96.248663,
34,2.486100,2.486100,0.982380,0.953778,0.970860,0.987169,0.994937,0.456591,0.975947,0.989754,0.994246,96.100867,
35,2.989809,3.278352,0.983397,0.953654,0.971271,0.989138,0.995792,0.454950,0.976011,0.989817,0.994426,96.936828,
36,2.989809,2.989809,0.981056,0.956318,0.968632,0.985116,0.993304,0.510899,0.979881,0.989956,0.993679,96.313461,
37,3.216210,3.371692,0.981209,0.952637,0.969088,0.986582,0.993629,0.457649,0.973917,0.988209,0.993249,96.554155,
38,3.183229,3.216210,0.982511,0.952894,0.970801,0.987800,0.995072,0.456642,0.975360,0.989137,0.993835,96.891084,
39,2.774606,3.183229,0.982982,0.952823,0.970874,0.988153,0.995850,0.457019,0.975915,0.989772,0.994358,96.581870,
40,2.774606,2.774606,0.983785,0.954450,0.971661,0.989083,0.996217,0.456156,0.976253,0.989819,0.994243,96.750330,
41,2.409463,3.157815,0.983936,0.953379,0.972147,0.989238,0.996661,0.455907,0.976131,0.989855,0.994159,96.344010,
42,2.409463,2.409463,0.983661,0.953721,0.972168,0.989182,0.995819,0.455240,0.975803,0.989398,0.993660,96.224150,
43,2.333724,2.717667,0.983348,0.954131,0.972045,0.988640,0.995328,0.456812,0.976118,0.989812,0.994135,96.121742,
44,2.333724,2.333724,0.983636,0.954208,0.972671,0.988862,0.995444,0.455856,0.976008,0.989716,0.994152,96.182034,
45,2.573257,3.024466,0.982448,0.952992,0.970484,0.987221,0.995352,0.455371,0.975700,0.989631,0.994111,96.203760,
46,2.573257,2.573257,0.983546,0.954495,0.972376,0.988672,0.995611,0.458155,0.975676,0.989345,0.993963,96.410876,
47,2.551608,3.305539,0.983470,0.953166,0.972023,0.988237,0.996390,0.455410,0.976230,0.989975,0.994497,96.446506,
48,2.551608,2.551608,0.980782,0.956778,0.968234,0.984361,0.992677,0.515898,0.979698,0.989722,0.993582,95.701837,
49,2.390613,3.450482,0.980010,0.950013,0.966776,0.984393,0.993857,0.455523,0.974100,0.988233,0.993145,95.316033,
50,2.390613,2.390613,0.982653,0.953299,0.971045,0.987216,0.995235,0.459515,0.975591,0.989523,0.994011,96.010388,
51,3.016198,3.016198,0.982599,0.952042,0.970069,0.986829,0.996340,0.456352,0.975740,0.989556,0.993998,96.746758,
52,3.500248,3.501557,0.983454,0.954101,0.971752,0.988007,0.996134,0.458087,0.975953,0.989649,0.994087,97.509981,
53,2.787894,3.500248,0.983281,0.953287,0.971514,0.987817,0.996326,0.456901,0.976078,0.989677,0.994147,96.641506,
54,2.653722,2.787894,0.983486,0.953835,0.971264,0.988291,0.996471,0.456906,0.976120,0.989790,0.994305,96.544638,
55,2.653722,2.653722,0.983532,0.954173,0.971950,0.988417,0.996042,0.456880,0.976278,0.989894,0.994276,96.557551,
56,2.961709,3.399944,0.983498,0.954378,0.972297,0.988988,0.995250,0.458280,0.976032,0.989608,0.994016,96.878164,
57,2.961709,2.961709,0.983399,0.954000,0.971684,0.988670,0.995891,0.458529,0.976062,0.989753,0.994294,96.885368,
58,2.871854,3.199983,0.982973,0.953394,0.971410,0.988954,0.994868,0.457009,0.976044,0.989779,0.994274,96.689160,
59,2.871854,2.871854,0.984023,0.955053,0.972808,0.989041,0.996130,0.458088,0.976301,0.989910,0.994492,96.938215,
60,2.629918,3.003606,0.980999,0.956237,0.968434,0.985603,0.992493,0.513574,0.979722,0.989815,0.993589,95.851102,
61,2.629918,2.629918,0.981492,0.952104,0.968622,0.987133,0.993962,0.458009,0.974197,0.988277,0.993012,95.906692,
62,3.007744,3.271484,0.981260,0.950822,0.968275,0.986925,0.994356,0.458448,0.975073,0.989064,0.993758,96.401298,
63,2.914592,3.007744,0.983101,0.953583,0.971312,0.988539,0.995374,0.459360,0.975943,0.989718,0.994254,96.758903,
64,2.316711,2.914592,0.983453,0.953687,0.972097,0.988512,0.995853,0.458354,0.976014,0.989658,0.994081,96.109791,
65,2.316711,2.316711,0.985031,0.955110,0.973441,0.990371,0.997224,0.459263,0.977312,0.990748,0.995099,96.583551,
66,2.666735,2.666735,0.982797,0.952626,0.970269,0.987588,0.996144,0.457923,0.976009,0.989727,0.994460,96.419283,
