Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.989375,0.969211,0.979753,0.992502,0.997048,0.609479,0.962101,0.982664,0.990056,93.582016,
1,7.243034,7.978626,0.977845,0.942289,0.958317,0.983064,0.993179,0.521089,0.944898,0.975769,0.987100,99.266135,
2,6.722310,7.243034,0.986669,0.958710,0.975064,0.990670,0.997040,0.573885,0.963237,0.984487,0.991979,100.000000,
3,6.678193,6.722310,0.978669,0.943182,0.959682,0.983613,0.993977,0.517155,0.945920,0.976597,0.987592,98.890337,
4,6.678193,6.678193,0.988186,0.963549,0.978548,0.991404,0.997333,0.594484,0.969136,0.987105,0.993358,100.000000,
5,7.010418,7.010418,0.978028,0.942209,0.959301,0.982872,0.993287,0.521502,0.946111,0.976749,0.987905,99.156730,
6,7.241679,7.241679,0.987369,0.958478,0.976189,0.991199,0.997730,0.578924,0.964866,0.985311,0.992452,100.000000,
7,7.735896,7.828122,0.978073,0.941515,0.958268,0.983375,0.993648,0.521498,0.946684,0.977050,0.988115,100.000000,
8,7.570023,7.735896,0.988489,0.964290,0.979160,0.991596,0.997209,0.607937,0.971007,0.987776,0.993511,100.000000,
9,7.570023,7.570023,0.978633,0.942330,0.959823,0.983408,0.993763,0.521792,0.946918,0.977151,0.988052,99.943265,
10,7.518906,8.707140,0.986147,0.957040,0.974681,0.990040,0.996722,0.574758,0.964488,0.984943,0.992147,100.000000,
11,7.518906,7.518906,0.977490,0.940421,0.957093,0.982773,0.993395,0.516749,0.946042,0.976690,0.987868,99.600738,
12,7.596154,7.596154,0.988333,0.962457,0.978053,0.992442,0.997164,0.597246,0.969449,0.987187,0.993342,100.000000,
13,6.828079,8.209648,0.978505,0.940003,0.958936,0.984760,0.993575,0.521596,0.946962,0.977215,0.988353,99.114381,
14,6.828079,6.828079,0.987337,0.957072,0.974680,0.992680,0.997462,0.582580,0.964722,0.985094,0.992284,100.000000,
15,7.126468,7.126468,0.978564,0.942125,0.958553,0.983265,0.994467,0.531586,0.948505,0.977812,0.988563,99.510156,
16,7.366617,7.366617,0.985725,0.960445,0.974296,0.988827,0.995566,0.591429,0.961107,0.982429,0.990283,100.000000,
17,7.704254,8.125947,0.980387,0.947603,0.961784,0.984223,0.994946,0.536839,0.948456,0.977910,0.988336,100.000000,
18,7.494713,7.704254,0.986663,0.956832,0.974175,0.990938,0.997314,0.577778,0.964242,0.984972,0.991934,100.000000,
19,7.159774,7.494713,0.979129,0.945647,0.960269,0.983241,0.993822,0.527866,0.945495,0.976389,0.987618,99.522097,
20,7.159774,7.159774,0.987948,0.962754,0.978017,0.991238,0.997096,0.596274,0.968392,0.986462,0.992812,100.000000,
21,7.211884,7.211884,0.979991,0.946640,0.962233,0.983970,0.994317,0.531093,0.946009,0.976806,0.987900,99.810117,
22,8.004170,8.924140,0.987112,0.957693,0.975507,0.991553,0.997293,0.578116,0.964248,0.984924,0.992092,100.000000,
