Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.990543,0.975659,0.984268,0.993332,0.997159,0.585726,0.975487,0.988897,0.993661,94.489374,
1,12.545672,12.545672,0.979810,0.951668,0.967258,0.983914,0.993630,0.479058,0.949203,0.977366,0.987687,100.000000,
2,12.699924,12.699924,0.986160,0.963348,0.977583,0.990038,0.995984,0.520490,0.964539,0.984111,0.991182,100.000000,
3,12.233448,12.879362,0.979472,0.950082,0.965381,0.985674,0.992876,0.461455,0.946211,0.975733,0.986588,100.000000,
4,11.826159,12.233448,0.987894,0.967489,0.980461,0.991159,0.996665,0.522785,0.968033,0.985615,0.991887,100.000000,
5,11.826159,11.826159,0.978767,0.948751,0.964346,0.983159,0.993343,0.448163,0.946396,0.975825,0.986905,100.000000,
6,12.701688,12.711871,0.985568,0.962961,0.976942,0.989535,0.994725,0.497371,0.964482,0.984213,0.991367,100.000000,
7,12.701688,12.701688,0.978191,0.947262,0.963849,0.983781,0.991984,0.441074,0.946206,0.976042,0.986807,100.000000,
8,13.041832,13.041832,0.989058,0.969452,0.981610,0.992295,0.996943,0.530332,0.972358,0.987849,0.993262,100.000000,
9,12.819995,13.058935,0.977972,0.949793,0.963875,0.980851,0.992574,0.440927,0.945019,0.975283,0.986435,100.000000,
10,12.819995,12.819995,0.985421,0.961438,0.975166,0.988657,0.996432,0.494083,0.963802,0.984156,0.991433,100.000000,
11,13.369892,13.369892,0.979150,0.949997,0.964023,0.984061,0.993580,0.451540,0.945767,0.976189,0.987511,100.000000,
12,13.422387,13.422387,0.986896,0.966821,0.979213,0.989979,0.995632,0.524539,0.967797,0.985935,0.992427,100.000000,
13,12.598223,13.590824,0.978061,0.949113,0.963590,0.982578,0.992984,0.457719,0.945477,0.975711,0.987021,100.000000,
14,12.197645,12.598223,0.984893,0.964109,0.976602,0.987519,0.995034,0.516718,0.965191,0.984836,0.991821,100.000000,
15,10.726541,12.197645,0.978411,0.949993,0.965371,0.982141,0.993372,0.472032,0.948245,0.977188,0.987752,100.000000,
16,10.726541,10.726541,0.986835,0.969167,0.979053,0.990351,0.995110,0.547839,0.968604,0.985919,0.992308,100.000000,
17,10.544472,10.831574,0.978172,0.949778,0.965269,0.982899,0.992724,0.472664,0.949018,0.977380,0.987961,100.000000,
18,10.544472,10.544472,0.985193,0.964545,0.976963,0.988513,0.995136,0.525302,0.965659,0.984988,0.991990,100.000000,
19,11.336177,11.336177,0.978161,0.948677,0.964620,0.983028,0.993112,0.470744,0.947630,0.976906,0.987818,100.000000,
20,11.370445,11.370445,0.987266,0.967230,0.979797,0.990484,0.996063,0.541858,0.970547,0.987153,0.993040,100.000000,
21,11.139047,11.820625,0.978183,0.948880,0.964345,0.982479,0.992681,0.474608,0.948076,0.976942,0.987615,100.000000,
22,11.139047,11.139047,0.985861,0.962407,0.977860,0.989589,0.995678,0.534284,0.966991,0.985513,0.992168,100.000000,
23,10.894889,11.786671,0.978916,0.947583,0.965881,0.984032,0.993156,0.485063,0.949286,0.977659,0.988021,100.000000,
24,10.894889,10.894889,0.987759,0.968785,0.981178,0.990652,0.995958,0.573237,0.973106,0.987931,0.993375,100.000000,
25,11.468954,11.468954,0.977715,0.946575,0.964273,0.981900,0.993204,0.490974,0.947435,0.976562,0.987518,100.000000,
26,12.282783,12.282783,0.985228,0.961164,0.977055,0.988983,0.995180,0.555148,0.965971,0.984996,0.991973,100.000000,
27,12.450385,12.450385,0.977459,0.945033,0.962882,0.982400,0.992541,0.501201,0.946871,0.976079,0.987019,100.000000,
28,12.664216,12.664216,0.987228,0.965122,0.979332,0.990399,0.996488,0.582158,0.969515,0.986637,0.992836,100.000000,
29,12.633459,13.255141,0.978587,0.944508,0.963280,0.984038,0.994103,0.511382,0.947408,0.976753,0.987763,100.000000,
30,12.633459,12.633459,0.985674,0.960307,0.976124,0.989615,0.996269,0.576574,0.967087,0.985765,0.992605,100.000000,
31,13.399538,13.687071,0.979151,0.945580,0.964163,0.984962,0.994217,0.520824,0.949277,0.977814,0.988753,100.000000,
32,13.399538,13.399538,0.989524,0.970891,0.981927,0.993284,0.996952,0.630103,0.973230,0.988244,0.993736,100.000000,
33,14.292752,14.292752,0.978767,0.946106,0.963549,0.983907,0.993728,0.528499,0.948091,0.977150,0.987987,100.000000,
34,14.317029,14.317029,0.986212,0.960209,0.977373,0.990753,0.995844,0.586872,0.966308,0.985352,0.992270,100.000000,
35,14.093438,15.442009,0.978492,0.945800,0.963673,0.983541,0.993246,0.524837,0.944286,0.975138,0.986793,100.000000,
36,14.093438,14.093438,0.987414,0.962588,0.979850,0.991266,0.996921,0.600529,0.968065,0.986195,0.992603,100.000000,
