n:39 mse_avg:6.35 mse_y:7.04 mse_u:6.00 mse_v:3.91 psnr_avg:40.11 psnr_y:39.65 psnr_u:40.35 psnr_v:42.21 
n:40 mse_avg:6.31 mse_y:7.01 mse_u:5.97 mse_v:3.87 psnr_avg:40.13 psnr_y:39.68 psnr_u:40.37 psnr_v:42.25 
n:41 mse_avg:6.31 mse_y:7.01 mse_u:5.99 mse_v:3.83 psnr_avg:40.13 psnr_y:39.68 psnr_u:40.36 psnr_v:42.30 
n:42 mse_avg:6.30 mse_y:7.00 mse_u:5.97 mse_v:3.81 psnr_avg:40.14 psnr_y:39.68 psnr_u:40.37 psnr_v:42.32 
n:43 mse_avg:6.25 mse_y:6.93 mse_u:5.93 mse_v:3.82 psnr_avg:40.17 psnr_y:39.72 psnr_u:40.40 psnr_v:42.32 
n:44 mse_avg:6.27 mse_y:6.95 mse_u:5.96 mse_v:3.81 psnr_avg:40.16 psnr_y:39.71 psnr_u:40.38 psnr_v:42.32 
n:45 mse_avg:6.25 mse_y:6.94 mse_u:5.93 mse_v:3.81 psnr_avg:40.17 psnr_y:39.72 psnr_u:40.40 psnr_v:42.32 
n:46 mse_avg:6.31 mse_y:7.02 mse_u:5.96 mse_v:3.82 psnr_avg:40.13 psnr_y:39.67 psnr_u:40.38 psnr_v:42.31 
n:47 mse_avg:6.28 mse_y:6.97 mse_u:5.97 mse_v:3.81 psnr_avg:40.15 psnr_y:39.70 psnr_u:40.37 psnr_v:42.32 
n:48 mse_avg:6.34 mse_y:7.06 mse_u:5.96 mse_v:3.83 psnr_avg:40.11 psnr_y:39.64 psnr_u:40.38 psnr_v:42.30 
n:49 mse_avg:5.26 mse_y:5.71 mse_u:5.15 mse_v:3.56 psnr_avg:40.92 psnr_y:40.56 psnr_u:41.01 psnr_v:42.62 
n:50 mse_avg:6.45 mse_y:7.18 mse_u:6.08 mse_v:3.95 psnr_avg:40.03 psnr_y:39.57 psnr_u:40.29 psnr_v:42.17 
n:51 mse_avg:6.33 mse_y:7.02 mse_u:6.00 mse_v:3.89 psnr_avg:40.12 psnr_y:39.67 psnr_u:40.35 psnr_v:42.24 
n:52 mse_avg:6.31 mse_y:7.01 mse_u:5.95 mse_v:3.86 psnr_avg:40.13 psnr_y:39.67 psnr_u:40.38 psnr_v:42.26 
n:53 mse_avg:6.27 mse_y:6.97 mse_u:5.91 mse_v:3.82 psnr_avg:40.16 psnr_y:39.70 psnr_u:40.41 psnr_v:42.31 
n:54 mse_avg:6.32 mse_y:7.03 mse_u:5.96 mse_v:3.83 psnr_avg:40.13 psnr_y:39.66 psnr_u:40.38 psnr_v:42.30 
n:55 mse_avg:6.29 mse_y:6.99 mse_u:5.93 mse_v:3.81 psnr_avg:40.15 psnr_y:39.68 psnr_u:40.40 psnr_v:42.32 
n:56 mse_avg:6.28 mse_y:6.98 mse_u:5.95 mse_v:3.82 psnr_avg:40.15 psnr_y:39.69 psnr_u:40.39 psnr_v:42.31 
n:57 mse_avg:6.29 mse_y:7.00 mse_u:5.92 mse_v:3.79 psnr_avg:40.15 psnr_y:39.68 psnr_u:40.41 psnr_v:42.35 
n:58 mse_avg:6.22 mse_y:6.91 mse_u:5.90 mse_v:3.80 psnr_avg:40.19 psnr_y:39.74 psnr_u:40.42 psnr_v:42.33 
n:59 mse_avg:6.30 mse_y:7.01 mse_u:5.95 mse_v:3.82 psnr_avg:40.14 psnr_y:39.67 psnr_u:40.39 psnr_v:42.31 
n:60 mse_avg:6.26 mse_y:6.96 mse_u:5.93 mse_v:3.82 psnr_avg:40.16 psnr_y:39.71 psnr_u:40.40 psnr_v:42.32 
n:61 mse_avg:5.30 mse_y:5.78 mse_u:5.12 mse_v:3.55 psnr_avg:40.89 psnr_y:40.51 psnr_u:41.04 psnr_v:42.63 
n:62 mse_avg:6.42 mse_y:7.13 mse_u:6.07 mse_v:3.93 psnr_avg:40.06 psnr_y:39.60 psnr_u:40.30 psnr_v:42.19 
n:63 mse_avg:6.35 mse_y:7.06 mse_u:6.01 mse_v:3.89 psnr_avg:40.10 psnr_y:39.65 psnr_u:40.34 psnr_v:42.24 
n:64 mse_avg:6.31 mse_y:7.01 mse_u:5.97 mse_v:3.85 psnr_avg:40.13 psnr_y:39.68 psnr_u:40.37 psnr_v:42.27 
n:65 mse_avg:6.29 mse_y:6.99 mse_u:5.93 mse_v:3.83 psnr_avg:40.15 psnr_y:39.68 psnr_u:40.40 psnr_v:42.30 
n:66 mse_avg:6.30 mse_y:7.00 mse_u:5.95 mse_v:3.81 psnr_avg:40.14 psnr_y:39.68 psnr_u:40.38 psnr_v:42.33 
n:67 mse_avg:6.28 mse_y:6.99 mse_u:5.91 mse_v:3.79 psnr_avg:40.15 psnr_y:39.68 psnr_u:40.41 psnr_v:42.35 
n:68 mse_avg:6.22 mse_y:6.92 mse_u:5.88 mse_v:3.77 psnr_avg:40.19 psnr_y:39.73 psnr_u:40.43 psnr_v:42.37 
n:69 mse_avg:6.28 mse_y:7.01 mse_u:5.91 mse_v:3.77 psnr_avg:40.15 psnr_y:39.68 psnr_u:40.41 psnr_v:42.37 
n:70 mse_avg:6.27 mse_y:6.99 mse_u:5.91 mse_v:3.76 psnr_avg:40.16 psnr_y:39.69 psnr_u:40.42 psnr_v:42.38 
n:71 mse_avg:6.25 mse_y:6.96 mse_u:5.88 mse_v:3.77 psnr_avg:40.17 psnr_y:39.70 psnr_u:40.43 psnr_v:42.37 
n:72 mse_avg:6.23 mse_y:6.94 mse_u:5.87 mse_v:3.77 psnr_avg:40.18 psnr_y:39.72 psnr_u:40.44 psnr_v:42.36 
