n:39 mse_avg:11.82 mse_y:13.65 mse_u:8.78 mse_v:7.53 psnr_avg:37.41 psnr_y:36.78 psnr_u:38.70 psnr_v:39.36 
n:40 mse_avg:14.08 mse_y:16.54 mse_u:9.92 mse_v:8.39 psnr_avg:36.65 psnr_y:35.95 psnr_u:38.16 psnr_v:38.89 
n:41 mse_avg:5.65 mse_y:6.06 mse_u:5.11 mse_v:4.56 psnr_avg:40.61 psnr_y:40.31 psnr_u:41.05 psnr_v:41.54 
n:42 mse_avg:12.84 mse_y:15.37 mse_u:8.57 mse_v:7.00 psnr_avg:37.04 psnr_y:36.26 psnr_u:38.80 psnr_v:39.68 
n:43 mse_avg:11.37 mse_y:13.18 mse_u:8.44 mse_v:7.06 psnr_avg:37.57 psnr_y:36.93 psnr_u:38.87 psnr_v:39.64 
n:44 mse_avg:13.34 mse_y:15.66 mse_u:9.49 mse_v:7.91 psnr_avg:36.88 psnr_y:36.18 psnr_u:38.36 psnr_v:39.15 
n:45 mse_avg:9.30 mse_y:10.48 mse_u:7.43 mse_v:6.44 psnr_avg:38.45 psnr_y:37.93 psnr_u:39.42 psnr_v:40.04 
n:46 mse_avg:13.02 mse_y:15.29 mse_u:9.27 mse_v:7.69 psnr_avg:36.98 psnr_y:36.29 psnr_u:38.46 psnr_v:39.27 
n:47 mse_avg:11.79 mse_y:13.60 mse_u:8.81 mse_v:7.51 psnr_avg:37.42 psnr_y:36.79 psnr_u:38.68 psnr_v:39.37 
n:48 mse_avg:13.59 mse_y:15.93 mse_u:9.71 mse_v:8.15 psnr_avg:36.80 psnr_y:36.11 psnr_u:38.26 psnr_v:39.02 
n:49 mse_avg:5.86 mse_y:6.36 mse_u:5.14 mse_v:4.59 psnr_avg:40.45 psnr_y:40.09 psnr_u:41.03 psnr_v:41.52 
n:50 mse_avg:12.95 mse_y:15.56 mse_u:8.49 mse_v:6.95 psnr_avg:37.01 psnr_y:36.21 psnr_u:38.84 psnr_v:39.71 
n:51 mse_avg:5.62 mse_y:6.05 mse_u:5.03 mse_v:4.49 psnr_avg:40.63 psnr_y:40.31 psnr_u:41.11 psnr_v:41.61 
n:52 mse_avg:12.84 mse_y:15.42 mse_u:8.46 mse_v:6.92 psnr_avg:37.04 psnr_y:36.25 psnr_u:38.86 psnr_v:39.73 
n:53 mse_avg:9.39 mse_y:10.72 mse_u:7.26 mse_v:6.20 psnr_avg:38.40 psnr_y:37.83 psnr_u:39.52 psnr_v:40.21 
n:54 mse_avg:13.21 mse_y:15.64 mse_u:9.09 mse_v:7.62 psnr_avg:36.92 psnr_y:36.19 psnr_u:38.55 psnr_v:39.31 
n:55 mse_avg:11.79 mse_y:13.63 mse_u:8.76 mse_v:7.42 psnr_avg:37.42 psnr_y:36.79 psnr_u:38.70 psnr_v:39.43 
n:56 mse_avg:13.80 mse_y:16.23 mse_u:9.65 mse_v:8.24 psnr_avg:36.73 psnr_y:36.03 psnr_u:38.28 psnr_v:38.97 
n:57 mse_avg:5.83 mse_y:6.32 mse_u:5.10 mse_v:4.58 psnr_avg:40.48 psnr_y:40.13 psnr_u:41.05 psnr_v:41.52 
n:58 mse_avg:12.62 mse_y:15.12 mse_u:8.36 mse_v:6.89 psnr_avg:37.12 psnr_y:36.34 psnr_u:38.91 psnr_v:39.75 
n:59 mse_avg:11.41 mse_y:13.23 mse_u:8.41 mse_v:7.11 psnr_avg:37.56 psnr_y:36.91 psnr_u:38.88 psnr_v:39.61 
n:60 mse_avg:13.19 mse_y:15.45 mse_u:9.42 mse_v:7.93 psnr_avg:36.93 psnr_y:36.24 psnr_u:38.39 psnr_v:39.14 
n:61 mse_avg:5.55 mse_y:5.95 mse_u:5.04 mse_v:4.51 psnr_avg:40.68 psnr_y:40.39 psnr_u:41.10 psnr_v:41.59 
n:62 mse_avg:12.78 mse_y:15.32 mse_u:8.47 mse_v:6.94 psnr_avg:37.06 psnr_y:36.28 psnr_u:38.85 psnr_v:39.72 
n:63 mse_avg:11.33 mse_y:13.14 mse_u:8.40 mse_v:7.04 psnr_avg:37.59 psnr_y:36.95 psnr_u:38.89 psnr_v:39.66 
n:64 mse_avg:13.21 mse_y:15.52 mse_u:9.38 mse_v:7.81 psnr_avg:36.92 psnr_y:36.22 psnr_u:38.41 psnr_v:39.20 
n:65 mse_avg:5.76 mse_y:6.23 mse_u:5.09 mse_v:4.55 psnr_avg:40.53 psnr_y:40.19 psnr_u:41.06 psnr_v:41.55 
n:66 mse_avg:12.70 mse_y:15.23 mse_u:8.40 mse_v:6.92 psnr_avg:37.09 psnr_y:36.30 psnr_u:38.89 psnr_v:39.73 
n:67 mse_avg:11.29 mse_y:13.12 mse_u:8.31 mse_v:6.97 psnr_avg:37.60 psnr_y:36.95 psnr_u:38.93 psnr_v:39.70 
n:68 mse_avg:13.59 mse_y:16.04 mse_u:9.42 mse_v:7.96 psnr_avg:36.80 psnr_y:36.08 psnr_u:38.39 psnr_v:39.12 
n:69 mse_avg:9.24 mse_y:10.40 mse_u:7.42 mse_v:6.43 psnr_avg:38.47 psnr_y:37.96 psnr_u:39.43 psnr_v:40.05 
n:70 mse_avg:13.34 mse_y:15.72 mse_u:9.29 mse_v:7.83 psnr_avg:36.88 psnr_y:36.16 psnr_u:38.45 psnr_v:39.19 
n:71 mse_avg:5.52 mse_y:5.89 mse_u:5.04 mse_v:4.55 psnr_avg:40.71 psnr_y:40.43 psnr_u:41.11 psnr_v:41.55 
n:72 mse_avg:12.90 mse_y:15.47 mse_u:8.53 mse_v:7.01 psnr_avg:37.02 psnr_y:36.24 psnr_u:38.82 psnr_v:39.67 
n:73 mse_avg:5.69 mse_y:6.16 mse_u:5.05 mse_v:4.49 psnr_avg:40.58 psnr_y:40.24 psnr_u:41.10 psnr_v:41.61 
n:74 mse_avg:12.92 mse_y:15.54 mse_u:8.37 mse_v:6.96 psnr_avg:37.02 psnr_y:36.22 psnr_u:38.90 psnr_v:39.70 
n:75 mse_avg:11.28 mse_y:13.10 mse_u:8.30 mse_v:7.02 psnr_avg:37.61 psnr_y:36.96 psnr_u:38.94 psnr_v:39.67 
n:76 mse_avg:13.27 mse_y:15.64 mse_u:9.24 mse_v:7.84 psnr_avg:36.90 psnr_y:36.19 psnr_u:38.47 psnr_v:39.19 
n:77 mse_avg:9.41 mse_y:10.65 mse_u:7.41 mse_v:6.45 psnr_avg:38.39 psnr_y:37.86 psnr_u:39.43 psnr_v:40.03 
n:78 mse_avg:13.57 mse_y:16.08 mse_u:9.26 mse_v:7.85 psnr_avg:36.81 psnr_y:36.07 psnr_u:38.46 psnr_v:39.18 
n:79 mse_avg:11.35 mse_y:13.02 mse_u:8.64 mse_v:7.38 psnr_avg:37.58 psnr_y:36.98 psnr_u:38.77 psnr_v:39.45 
n:80 mse_avg:13.36 mse_y:15.61 mse_u:9.63 mse_v:8.11 psnr_avg:36.87 psnr_y:36.20 psnr_u:38.30 psnr_v:39.04 
n:81 mse_avg:5.55 mse_y:5.93 mse_u:5.07 mse_v:4.54 psnr_avg:40.69 psnr_y:40.40 psnr_u:41.08 psnr_v:41.56 
n:82 mse_avg:12.47 mse_y:14.90 mse_u:8.36 mse_v:6.83 psnr_avg:37.17 psnr_y:36.40 psnr_u:38.91 psnr_v:39.79 
n:83 mse_avg:11.20 mse_y:12.96 mse_u:8.37 mse_v:6.97 psnr_avg:37.64 psnr_y:37.00 psnr_u:38.90 psnr_v:39.70 
n:84 mse_avg:13.25 mse_y:15.53 mse_u:9.51 mse_v:7.84 psnr_avg:36.91 psnr_y:36.22 psnr_u:38.35 psnr_v:39.18 
n:85 mse_avg:9.07 mse_y:10.16 mse_u:7.38 mse_v:6.37 psnr_avg:38.56 psnr_y:38.06 psnr_u:39.45 psnr_v:40.09 
n:86 mse_avg:13.18 mse_y:15.50 mse_u:9.30 mse_v:7.74 psnr_avg:36.93 psnr_y:36.23 psnr_u:38.44 psnr_v:39.24 
n:87 mse_avg:11.67 mse_y:13.42 mse_u:8.83 mse_v:7.48 psnr_avg:37.46 psnr_y:36.85 psnr_u:38.67 psnr_v:39.39 
n:88 mse_avg:13.56 mse_y:15.87 mse_u:9.74 mse_v:8.13 psnr_avg:36.81 psnr_y:36.13 psnr_u:38.24 psnr_v:39.03 
n:89 mse_avg:5.82 mse_y:6.28 mse_u:5.18 mse_v:4.62 psnr_avg:40.48 psnr_y:40.15 psnr_u:40.99 psnr_v:41.48 
n:90 mse_avg:12.41 mse_y:14.80 mse_u:8.42 mse_v:6.85 psnr_avg:37.19 psnr_y:36.43 psnr_u:38.88 psnr_v:39.77 
n:91 mse_avg:5.54 mse_y:5.94 mse_u:5.02 mse_v:4.48 psnr_avg:40.69 psnr_y:40.39 psnr_u:41.12 psnr_v:41.62 
n:92 mse_avg:12.67 mse_y:15.21 mse_u:8.34 mse_v:6.84 psnr_avg:37.10 psnr_y:36.31 psnr_u:38.92 psnr_v:39.78 
