Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.955343,0.927346,0.925128,0.960315,0.977470,0.322008,0.888476,0.944597,0.967767,83.614392,
1,2.993110,2.993110,0.947807,0.919277,0.916837,0.951492,0.971536,0.302975,0.860391,0.927870,0.957732,84.036638,
2,2.483001,3.001437,0.945265,0.911003,0.909611,0.948943,0.973621,0.298283,0.862337,0.930068,0.959755,83.202167,
3,2.267103,2.483001,0.944555,0.911607,0.907661,0.949533,0.971947,0.300150,0.861217,0.929446,0.959386,82.754776,
4,2.267103,2.267103,0.948820,0.918953,0.915676,0.953342,0.973316,0.306613,0.871125,0.934810,0.962161,84.049015,
5,2.503249,2.503249,0.946687,0.912730,0.912200,0.952230,0.972772,0.302545,0.862154,0.930051,0.960031,83.527329,
6,2.741719,3.190380,0.947588,0.913276,0.914678,0.952532,0.973605,0.303182,0.865405,0.932448,0.961863,84.215414,
7,2.741719,2.741719,0.944875,0.908784,0.910066,0.949703,0.972549,0.303428,0.864452,0.931628,0.961388,83.577770,
8,2.149224,3.160897,0.949442,0.915366,0.916760,0.954229,0.974692,0.307289,0.872829,0.936449,0.963616,84.224730,
9,2.149224,2.149224,0.947968,0.914960,0.916234,0.950473,0.974237,0.304911,0.863709,0.930994,0.960591,83.472848,
10,2.891053,2.891053,0.946470,0.911465,0.911569,0.949376,0.974659,0.306041,0.866848,0.933311,0.962572,84.226609,
11,2.969662,2.969662,0.944970,0.906808,0.909390,0.948731,0.973863,0.300971,0.863615,0.931263,0.961102,83.821492,
12,2.913586,3.048843,0.948347,0.910975,0.915812,0.952058,0.975628,0.306860,0.873755,0.937069,0.964636,84.952829,
13,2.913586,2.913586,0.948825,0.913734,0.917708,0.952571,0.974017,0.307255,0.865943,0.932477,0.962192,84.677427,
14,2.974712,3.248104,0.947574,0.911293,0.914776,0.951544,0.974382,0.305274,0.868611,0.934409,0.963391,84.660338,
