n:1 mse_avg:8.08 mse_y:9.20 mse_u:7.08 mse_v:4.60 psnr_avg:39.06 psnr_y:38.49 psnr_u:39.63 psnr_v:41.51 
n:2 mse_avg:9.86 mse_y:11.56 mse_u:7.99 mse_v:4.95 psnr_avg:38.19 psnr_y:37.50 psnr_u:39.11 psnr_v:41.18 
n:3 mse_avg:10.02 mse_y:11.78 mse_u:8.02 mse_v:4.96 psnr_avg:38.12 psnr_y:37.42 psnr_u:39.09 psnr_v:41.18 
n:4 mse_avg:9.85 mse_y:11.56 mse_u:7.93 mse_v:4.93 psnr_avg:38.20 psnr_y:37.50 psnr_u:39.14 psnr_v:41.21 
n:5 mse_avg:9.88 mse_y:11.62 mse_u:7.93 mse_v:4.89 psnr_avg:38.18 psnr_y:37.48 psnr_u:39.14 psnr_v:41.24 
n:6 mse_avg:9.86 mse_y:11.59 mse_u:7.93 mse_v:4.88 psnr_avg:38.19 psnr_y:37.49 psnr_u:39.14 psnr_v:41.25 
n:7 mse_avg:9.91 mse_y:11.67 mse_u:7.93 mse_v:4.85 psnr_avg:38.17 psnr_y:37.46 psnr_u:39.14 psnr_v:41.28 
n:8 mse_avg:9.85 mse_y:11.60 mse_u:7.87 mse_v:4.85 psnr_avg:38.20 psnr_y:37.49 psnr_u:39.17 psnr_v:41.27 
n:9 mse_avg:9.94 mse_y:11.72 mse_u:7.90 mse_v:4.85 psnr_avg:38.16 psnr_y:37.44 psnr_u:39.15 psnr_v:41.27 
n:10 mse_avg:9.88 mse_y:11.64 mse_u:7.87 mse_v:4.84 psnr_avg:38.18 psnr_y:37.47 psnr_u:39.17 psnr_v:41.29 
n:11 mse_avg:9.79 mse_y:11.51 mse_u:7.85 mse_v:4.83 psnr_avg:38.22 psnr_y:37.52 psnr_u:39.18 psnr_v:41.29 
n:12 mse_avg:9.98 mse_y:11.78 mse_u:7.89 mse_v:4.86 psnr_avg:38.14 psnr_y:37.42 psnr_u:39.16 psnr_v:41.26 
n:13 mse_avg:8.17 mse_y:9.32 mse_u:7.10 mse_v:4.64 psnr_avg:39.01 psnr_y:38.43 psnr_u:39.62 psnr_v:41.47 
n:14 mse_avg:9.87 mse_y:11.58 mse_u:7.96 mse_v:4.94 psnr_avg:38.19 psnr_y:37.49 psnr_u:39.12 psnr_v:41.19 
n:15 mse_avg:9.87 mse_y:11.59 mse_u:7.92 mse_v:4.93 psnr_avg:38.19 psnr_y:37.49 psnr_u:39.14 psnr_v:41.20 
n:16 mse_avg:9.98 mse_y:11.75 mse_u:7.98 mse_v:4.92 psnr_avg:38.14 psnr_y:37.43 psnr_u:39.11 psnr_v:41.21 
n:17 mse_avg:9.87 mse_y:11.60 mse_u:7.90 mse_v:4.92 psnr_avg:38.19 psnr_y:37.49 psnr_u:39.15 psnr_v:41.21 
n:18 mse_avg:9.90 mse_y:11.67 mse_u:7.87 mse_v:4.86 psnr_avg:38.17 psnr_y:37.46 psnr_u:39.17 psnr_v:41.27 
n:19 mse_avg:9.96 mse_y:11.73 mse_u:7.96 mse_v:4.88 psnr_avg:38.15 psnr_y:37.44 psnr_u:39.12 psnr_v:41.25 
n:20 mse_avg:9.92 mse_y:11.70 mse_u:7.90 mse_v:4.84 psnr_avg:38.17 psnr_y:37.45 psnr_u:39.15 psnr_v:41.28 
n:21 mse_avg:9.85 mse_y:11.59 mse_u:7.87 mse_v:4.87 psnr_avg:38.20 psnr_y:37.49 psnr_u:39.17 psnr_v:41.26 
n:22 mse_avg:9.93 mse_y:11.72 mse_u:7.89 mse_v:4.82 psnr_avg:38.16 psnr_y:37.44 psnr_u:39.16 psnr_v:41.30 
n:23 mse_avg:9.89 mse_y:11.67 mse_u:7.86 mse_v:4.79 psnr_avg:38.18 psnr_y:37.46 psnr_u:39.18 psnr_v:41.32 
n:24 mse_avg:9.92 mse_y:11.70 mse_u:7.90 mse_v:4.82 psnr_avg:38.17 psnr_y:37.45 psnr_u:39.16 psnr_v:41.30 
n:25 mse_avg:8.08 mse_y:9.22 mse_u:7.04 mse_v:4.59 psnr_avg:39.06 psnr_y:38.49 psnr_u:39.66 psnr_v:41.51 
n:26 mse_avg:9.92 mse_y:11.64 mse_u:7.99 mse_v:4.97 psnr_avg:38.17 psnr_y:37.47 psnr_u:39.11 psnr_v:41.17 
n:27 mse_avg:9.93 mse_y:11.69 mse_u:7.95 mse_v:4.89 psnr_avg:38.16 psnr_y:37.45 psnr_u:39.13 psnr_v:41.24 
n:28 mse_avg:9.82 mse_y:11.54 mse_u:7.89 mse_v:4.84 psnr_avg:38.21 psnr_y:37.51 psnr_u:39.16 psnr_v:41.28 
n:29 mse_avg:9.94 mse_y:11.71 mse_u:7.92 mse_v:4.86 psnr_avg:38.16 psnr_y:37.44 psnr_u:39.14 psnr_v:41.26 
n:30 mse_avg:9.81 mse_y:11.54 mse_u:7.85 mse_v:4.82 psnr_avg:38.22 psnr_y:37.51 psnr_u:39.18 psnr_v:41.30 
n:31 mse_avg:9.92 mse_y:11.71 mse_u:7.86 mse_v:4.86 psnr_avg:38.16 psnr_y:37.45 psnr_u:39.17 psnr_v:41.26 
n:32 mse_avg:9.85 mse_y:11.61 mse_u:7.87 mse_v:4.82 psnr_avg:38.20 psnr_y:37.48 psnr_u:39.17 psnr_v:41.30 
n:33 mse_avg:9.91 mse_y:11.70 mse_u:7.84 mse_v:4.80 psnr_avg:38.17 psnr_y:37.45 psnr_u:39.19 psnr_v:41.32 
n:34 mse_avg:9.72 mse_y:11.45 mse_u:7.79 mse_v:4.77 psnr_avg:38.25 psnr_y:37.54 psnr_u:39.22 psnr_v:41.35 
n:35 mse_avg:9.81 mse_y:11.56 mse_u:7.82 mse_v:4.80 psnr_avg:38.21 psnr_y:37.50 psnr_u:39.20 psnr_v:41.32 
n:36 mse_avg:9.92 mse_y:11.71 mse_u:7.83 mse_v:4.82 psnr_avg:38.17 psnr_y:37.44 psnr_u:39.19 psnr_v:41.30 
n:37 mse_avg:8.09 mse_y:9.23 mse_u:7.06 mse_v:4.56 psnr_avg:39.05 psnr_y:38.48 psnr_u:39.64 psnr_v:41.54 
n:38 mse_avg:9.79 mse_y:11.47 mse_u:7.94 mse_v:4.90 psnr_avg:38.22 psnr_y:37.54 psnr_u:39.13 psnr_v:41.23 
n:39 mse_avg:9.84 mse_y:11.56 mse_u:7.90 mse_v:4.88 psnr_avg:38.20 psnr_y:37.50 psnr_u:39.15 psnr_v:41.24 
n:40 mse_avg:9.86 mse_y:11.60 mse_u:7.90 mse_v:4.87 psnr_avg:38.19 psnr_y:37.49 psnr_u:39.15 psnr_v:41.25 
n:41 mse_avg:9.87 mse_y:11.63 mse_u:7.89 mse_v:4.82 psnr_avg:38.19 psnr_y:37.48 psnr_u:39.16 psnr_v:41.30 
n:42 mse_avg:9.87 mse_y:11.63 mse_u:7.88 mse_v:4.81 psnr_avg:38.19 psnr_y:37.47 psnr_u:39.16 psnr_v:41.31 
n:43 mse_avg:9.88 mse_y:11.65 mse_u:7.88 mse_v:4.82 psnr_avg:38.18 psnr_y:37.47 psnr_u:39.16 psnr_v:41.30 
n:44 mse_avg:9.81 mse_y:11.55 mse_u:7.84 mse_v:4.81 psnr_avg:38.22 psnr_y:37.51 psnr_u:39.19 psnr_v:41.31 
n:45 mse_avg:9.79 mse_y:11.53 mse_u:7.84 mse_v:4.78 psnr_avg:38.22 psnr_y:37.51 psnr_u:39.19 psnr_v:41.34 
n:46 mse_avg:9.89 mse_y:11.68 mse_u:7.86 mse_v:4.79 psnr_avg:38.18 psnr_y:37.46 psnr_u:39.18 psnr_v:41.33 
n:47 mse_avg:9.72 mse_y:11.45 mse_u:7.81 mse_v:4.74 psnr_avg:38.25 psnr_y:37.54 psnr_u:39.21 psnr_v:41.37 
n:48 mse_avg:9.91 mse_y:11.70 mse_u:7.85 mse_v:4.78 psnr_avg:38.17 psnr_y:37.45 psnr_u:39.18 psnr_v:41.34 
n:49 mse_avg:7.82 mse_y:8.87 mse_u:6.93 mse_v:4.52 psnr_avg:39.20 psnr_y:38.65 psnr_u:39.72 psnr_v:41.58 
n:50 mse_avg:9.97 mse_y:11.72 mse_u:7.99 mse_v:4.94 psnr_avg:38.15 psnr_y:37.44 psnr_u:39.10 psnr_v:41.20 
