n:39 mse_avg:7.06 mse_y:7.28 mse_u:7.04 mse_v:6.17 psnr_avg:39.65 psnr_y:39.51 psnr_u:39.66 psnr_v:40.23 
n:40 mse_avg:10.21 mse_y:11.52 mse_u:8.28 mse_v:6.90 psnr_avg:38.04 psnr_y:37.51 psnr_u:38.95 psnr_v:39.74 
n:41 mse_avg:5.97 mse_y:6.22 mse_u:5.80 mse_v:5.16 psnr_avg:40.37 psnr_y:40.19 psnr_u:40.50 psnr_v:41.00 
n:42 mse_avg:10.02 mse_y:11.27 mse_u:8.18 mse_v:6.88 psnr_avg:38.12 psnr_y:37.61 psnr_u:39.00 psnr_v:39.76 
n:43 mse_avg:7.12 mse_y:7.24 mse_u:7.33 mse_v:6.39 psnr_avg:39.61 psnr_y:39.53 psnr_u:39.48 psnr_v:40.08 
n:44 mse_avg:9.81 mse_y:10.92 mse_u:8.25 mse_v:6.95 psnr_avg:38.21 psnr_y:37.75 psnr_u:38.97 psnr_v:39.71 
n:45 mse_avg:6.29 mse_y:6.53 mse_u:6.14 mse_v:5.46 psnr_avg:40.15 psnr_y:39.98 psnr_u:40.25 psnr_v:40.76 
n:46 mse_avg:9.74 mse_y:10.79 mse_u:8.32 mse_v:6.95 psnr_avg:38.24 psnr_y:37.80 psnr_u:38.93 psnr_v:39.71 
n:47 mse_avg:7.28 mse_y:7.32 mse_u:7.74 mse_v:6.66 psnr_avg:39.51 psnr_y:39.49 psnr_u:39.24 psnr_v:39.90 
n:48 mse_avg:9.38 mse_y:10.44 mse_u:7.86 mse_v:6.64 psnr_avg:38.41 psnr_y:37.94 psnr_u:39.17 psnr_v:39.91 
n:49 mse_avg:7.26 mse_y:7.71 mse_u:6.88 mse_v:5.83 psnr_avg:39.52 psnr_y:39.26 psnr_u:39.75 psnr_v:40.47 
n:50 mse_avg:9.60 mse_y:10.77 mse_u:7.85 mse_v:6.69 psnr_avg:38.31 psnr_y:37.81 psnr_u:39.18 psnr_v:39.88 
n:51 mse_avg:7.21 mse_y:7.27 mse_u:7.59 mse_v:6.60 psnr_avg:39.55 psnr_y:39.51 psnr_u:39.33 psnr_v:39.94 
n:52 mse_avg:10.12 mse_y:11.28 mse_u:8.47 mse_v:7.12 psnr_avg:38.08 psnr_y:37.61 psnr_u:38.85 psnr_v:39.61 
n:53 mse_avg:6.39 mse_y:6.56 mse_u:6.44 mse_v:5.68 psnr_avg:40.07 psnr_y:39.96 psnr_u:40.04 psnr_v:40.58 
n:54 mse_avg:10.01 mse_y:11.16 mse_u:8.34 mse_v:7.06 psnr_avg:38.13 psnr_y:37.65 psnr_u:38.92 psnr_v:39.64 
n:55 mse_avg:7.07 mse_y:7.22 mse_u:7.22 mse_v:6.32 psnr_avg:39.64 psnr_y:39.55 psnr_u:39.54 psnr_v:40.13 
n:56 mse_avg:10.00 mse_y:11.19 mse_u:8.28 mse_v:6.96 psnr_avg:38.13 psnr_y:37.64 psnr_u:38.95 psnr_v:39.70 
n:57 mse_avg:5.86 mse_y:5.95 mse_u:5.99 mse_v:5.34 psnr_avg:40.45 psnr_y:40.38 psnr_u:40.36 psnr_v:40.86 
n:58 mse_avg:9.85 mse_y:11.09 mse_u:7.99 mse_v:6.75 psnr_avg:38.20 psnr_y:37.68 psnr_u:39.11 psnr_v:39.84 
n:59 mse_avg:7.03 mse_y:7.15 mse_u:7.24 mse_v:6.36 psnr_avg:39.66 psnr_y:39.59 psnr_u:39.53 psnr_v:40.10 
n:60 mse_avg:9.65 mse_y:10.77 mse_u:8.05 mse_v:6.81 psnr_avg:38.28 psnr_y:37.81 psnr_u:39.07 psnr_v:39.80 
n:61 mse_avg:6.21 mse_y:6.47 mse_u:6.05 mse_v:5.32 psnr_avg:40.20 psnr_y:40.02 psnr_u:40.31 psnr_v:40.87 
n:62 mse_avg:9.85 mse_y:11.12 mse_u:7.92 mse_v:6.67 psnr_avg:38.20 psnr_y:37.67 psnr_u:39.14 psnr_v:39.89 
n:63 mse_avg:6.86 mse_y:7.13 mse_u:6.74 mse_v:5.91 psnr_avg:39.77 psnr_y:39.60 psnr_u:39.84 psnr_v:40.41 
n:64 mse_avg:9.07 mse_y:10.19 mse_u:7.42 mse_v:6.24 psnr_avg:38.55 psnr_y:38.05 psnr_u:39.43 psnr_v:40.18 
n:65 mse_avg:5.88 mse_y:6.07 mse_u:5.94 mse_v:5.06 psnr_avg:40.44 psnr_y:40.30 psnr_u:40.39 psnr_v:41.09 
n:66 mse_avg:9.27 mse_y:10.49 mse_u:7.37 mse_v:6.29 psnr_avg:38.46 psnr_y:37.92 psnr_u:39.46 psnr_v:40.15 
n:67 mse_avg:6.86 mse_y:7.11 mse_u:6.78 mse_v:5.93 psnr_avg:39.77 psnr_y:39.61 psnr_u:39.82 psnr_v:40.40 
n:68 mse_avg:9.82 mse_y:11.03 mse_u:8.03 mse_v:6.79 psnr_avg:38.21 psnr_y:37.71 psnr_u:39.08 psnr_v:39.81 
n:69 mse_avg:6.16 mse_y:6.44 mse_u:5.94 mse_v:5.28 psnr_avg:40.23 psnr_y:40.04 psnr_u:40.39 psnr_v:40.91 
n:70 mse_avg:9.85 mse_y:11.04 mse_u:8.11 mse_v:6.81 psnr_avg:38.20 psnr_y:37.70 psnr_u:39.04 psnr_v:39.80 
n:71 mse_avg:6.78 mse_y:6.94 mse_u:6.89 mse_v:6.05 psnr_avg:39.82 psnr_y:39.72 psnr_u:39.75 psnr_v:40.31 
n:72 mse_avg:9.98 mse_y:11.22 mse_u:8.11 mse_v:6.88 psnr_avg:38.14 psnr_y:37.63 psnr_u:39.04 psnr_v:39.75 
n:73 mse_avg:5.68 mse_y:5.83 mse_u:5.67 mse_v:5.11 psnr_avg:40.59 psnr_y:40.48 psnr_u:40.59 psnr_v:41.05 
n:74 mse_avg:10.05 mse_y:11.29 mse_u:8.21 mse_v:6.94 psnr_avg:38.11 psnr_y:37.60 psnr_u:38.99 psnr_v:39.72 
n:75 mse_avg:6.95 mse_y:7.11 mse_u:7.07 mse_v:6.16 psnr_avg:39.71 psnr_y:39.61 psnr_u:39.64 psnr_v:40.24 
n:76 mse_avg:9.91 mse_y:11.15 mse_u:8.03 mse_v:6.83 psnr_avg:38.17 psnr_y:37.66 psnr_u:39.09 psnr_v:39.79 
n:77 mse_avg:6.31 mse_y:6.58 mse_u:6.09 mse_v:5.43 psnr_avg:40.13 psnr_y:39.95 psnr_u:40.28 psnr_v:40.78 
n:78 mse_avg:10.02 mse_y:11.24 mse_u:8.21 mse_v:6.95 psnr_avg:38.12 psnr_y:37.62 psnr_u:38.99 psnr_v:39.71 
