n:39 mse_avg:29.74 mse_y:35.58 mse_u:23.56 mse_v:12.56 psnr_avg:33.40 psnr_y:32.62 psnr_u:34.41 psnr_v:37.14 
n:40 mse_avg:35.25 mse_y:43.14 mse_u:25.88 mse_v:13.09 psnr_avg:32.66 psnr_y:31.78 psnr_u:34.00 psnr_v:36.96 
n:41 mse_avg:17.88 mse_y:20.12 mse_u:15.92 mse_v:10.88 psnr_avg:35.61 psnr_y:35.09 psnr_u:36.11 psnr_v:37.76 
n:42 mse_avg:30.67 mse_y:37.86 mse_u:20.85 mse_v:11.72 psnr_avg:33.26 psnr_y:32.35 psnr_u:34.94 psnr_v:37.44 
n:43 mse_avg:29.24 mse_y:35.27 mse_u:22.19 mse_v:12.16 psnr_avg:33.47 psnr_y:32.66 psnr_u:34.67 psnr_v:37.28 
n:44 mse_avg:35.03 mse_y:43.23 mse_u:24.52 mse_v:12.75 psnr_avg:32.69 psnr_y:31.77 psnr_u:34.24 psnr_v:37.07 
n:45 mse_avg:25.73 mse_y:30.18 mse_u:21.25 mse_v:12.42 psnr_avg:34.03 psnr_y:33.33 psnr_u:34.86 psnr_v:37.19 
n:46 mse_avg:33.43 mse_y:40.84 mse_u:24.41 mse_v:12.79 psnr_avg:32.89 psnr_y:32.02 psnr_u:34.26 psnr_v:37.06 
n:47 mse_avg:16.99 mse_y:18.85 mse_u:15.91 mse_v:10.66 psnr_avg:35.83 psnr_y:35.38 psnr_u:36.11 psnr_v:37.85 
n:48 mse_avg:29.18 mse_y:35.56 mse_u:21.16 mse_v:11.65 psnr_avg:33.48 psnr_y:32.62 psnr_u:34.88 psnr_v:37.47 
n:49 mse_avg:17.73 mse_y:19.93 mse_u:15.87 mse_v:10.80 psnr_avg:35.64 psnr_y:35.14 psnr_u:36.12 psnr_v:37.79 
n:50 mse_avg:31.58 mse_y:38.88 mse_u:21.94 mse_v:12.01 psnr_avg:33.14 psnr_y:32.23 psnr_u:34.72 psnr_v:37.33 
n:51 mse_avg:29.02 mse_y:34.65 mse_u:23.22 mse_v:12.32 psnr_avg:33.50 psnr_y:32.73 psnr_u:34.47 psnr_v:37.22 
n:52 mse_avg:36.23 mse_y:44.43 mse_u:26.48 mse_v:13.18 psnr_avg:32.54 psnr_y:31.65 psnr_u:33.90 psnr_v:36.93 
n:53 mse_avg:17.89 mse_y:19.91 mse_u:16.56 mse_v:11.14 psnr_avg:35.60 psnr_y:35.14 psnr_u:35.94 psnr_v:37.66 
n:54 mse_avg:33.26 mse_y:41.16 mse_u:22.58 mse_v:12.31 psnr_avg:32.91 psnr_y:31.99 psnr_u:34.59 psnr_v:37.23 
n:55 mse_avg:31.13 mse_y:37.41 mse_u:24.47 mse_v:12.71 psnr_avg:33.20 psnr_y:32.40 psnr_u:34.24 psnr_v:37.09 
n:56 mse_avg:36.27 mse_y:44.27 mse_u:27.24 mse_v:13.33 psnr_avg:32.54 psnr_y:31.67 psnr_u:33.78 psnr_v:36.88 
n:57 mse_avg:18.64 mse_y:20.83 mse_u:17.32 mse_v:11.22 psnr_avg:35.43 psnr_y:34.94 psnr_u:35.74 psnr_v:37.63 
n:58 mse_avg:33.68 mse_y:41.31 mse_u:23.97 mse_v:12.88 psnr_avg:32.86 psnr_y:31.97 psnr_u:34.33 psnr_v:37.03 
n:59 mse_avg:33.73 mse_y:40.53 mse_u:26.26 mse_v:14.00 psnr_avg:32.85 psnr_y:32.05 psnr_u:33.94 psnr_v:36.67 
n:60 mse_avg:43.77 mse_y:54.34 mse_u:29.94 mse_v:15.33 psnr_avg:31.72 psnr_y:30.78 psnr_u:33.37 psnr_v:36.27 
n:61 mse_avg:29.26 mse_y:34.06 mse_u:25.10 mse_v:14.24 psnr_avg:33.47 psnr_y:32.81 psnr_u:34.13 psnr_v:36.60 
n:62 mse_avg:43.77 mse_y:54.39 mse_u:29.56 mse_v:15.49 psnr_avg:31.72 psnr_y:30.78 psnr_u:33.42 psnr_v:36.23 
n:63 mse_avg:20.89 mse_y:23.40 mse_u:18.86 mse_v:12.85 psnr_avg:34.93 psnr_y:34.44 psnr_u:35.38 psnr_v:37.04 
n:64 mse_avg:36.96 mse_y:45.76 mse_u:24.89 mse_v:13.82 psnr_avg:32.45 psnr_y:31.53 psnr_u:34.17 psnr_v:36.73 
n:65 mse_avg:19.90 mse_y:22.18 mse_u:18.43 mse_v:12.26 psnr_avg:35.14 psnr_y:34.67 psnr_u:35.48 psnr_v:37.24 
n:66 mse_avg:39.90 mse_y:50.04 mse_u:25.07 mse_v:14.15 psnr_avg:32.12 psnr_y:31.14 psnr_u:34.14 psnr_v:36.62 
n:67 mse_avg:34.85 mse_y:42.00 mse_u:26.74 mse_v:14.38 psnr_avg:32.71 psnr_y:31.90 psnr_u:33.86 psnr_v:36.55 
