n:1 mse_avg:51.40 mse_y:66.10 mse_u:23.65 mse_v:20.34 psnr_avg:31.02 psnr_y:29.93 psnr_u:34.39 psnr_v:35.05 
n:2 mse_avg:88.93 mse_y:121.56 mse_u:25.24 mse_v:22.13 psnr_avg:28.64 psnr_y:27.28 psnr_u:34.11 psnr_v:34.68 
n:3 mse_avg:80.50 mse_y:108.07 mse_u:26.84 mse_v:23.89 psnr_avg:29.07 psnr_y:27.79 psnr_u:33.84 psnr_v:34.35 
n:4 mse_avg:91.00 mse_y:123.62 mse_u:27.11 mse_v:24.39 psnr_avg:28.54 psnr_y:27.21 psnr_u:33.80 psnr_v:34.26 
n:5 mse_avg:71.00 mse_y:93.17 mse_u:28.01 mse_v:25.30 psnr_avg:29.62 psnr_y:28.44 psnr_u:33.66 psnr_v:34.10 
n:6 mse_avg:88.81 mse_y:119.72 mse_u:28.24 mse_v:25.73 psnr_avg:28.65 psnr_y:27.35 psnr_u:33.62 psnr_v:34.03 
n:7 mse_avg:80.40 mse_y:106.58 mse_u:29.35 mse_v:26.75 psnr_avg:29.08 psnr_y:27.85 psnr_u:33.45 psnr_v:33.86 
n:8 mse_avg:89.29 mse_y:120.07 mse_u:29.11 mse_v:26.37 psnr_avg:28.62 psnr_y:27.34 psnr_u:33.49 psnr_v:33.92 
n:9 mse_avg:69.98 mse_y:90.98 mse_u:29.50 mse_v:26.50 psnr_avg:29.68 psnr_y:28.54 psnr_u:33.43 psnr_v:33.90 
n:10 mse_avg:96.79 mse_y:131.14 mse_u:29.54 mse_v:26.66 psnr_avg:28.27 psnr_y:26.95 psnr_u:33.43 psnr_v:33.87 
n:11 mse_avg:82.99 mse_y:109.98 mse_u:30.60 mse_v:27.41 psnr_avg:28.94 psnr_y:27.72 psnr_u:33.27 psnr_v:33.75 
n:12 mse_avg:92.37 mse_y:124.41 mse_u:29.86 mse_v:26.73 psnr_avg:28.48 psnr_y:27.18 psnr_u:33.38 psnr_v:33.86 
