n:1 mse_avg:14.30 mse_y:17.22 mse_u:9.92 mse_v:7.00 psnr_avg:36.58 psnr_y:35.77 psnr_u:38.17 psnr_v:39.68 
n:2 mse_avg:18.30 mse_y:23.13 mse_u:10.09 mse_v:7.18 psnr_avg:35.51 psnr_y:34.49 psnr_u:38.09 psnr_v:39.57 
n:3 mse_avg:19.46 mse_y:24.82 mse_u:10.23 mse_v:7.28 psnr_avg:35.24 psnr_y:34.18 psnr_u:38.03 psnr_v:39.51 
n:4 mse_avg:18.39 mse_y:23.24 mse_u:10.12 mse_v:7.24 psnr_avg:35.49 psnr_y:34.47 psnr_u:38.08 psnr_v:39.53 
n:5 mse_avg:17.18 mse_y:21.46 mse_u:10.08 mse_v:7.17 psnr_avg:35.78 psnr_y:34.81 psnr_u:38.10 psnr_v:39.58 
n:6 mse_avg:16.61 mse_y:20.59 mse_u:10.11 mse_v:7.19 psnr_avg:35.93 psnr_y:34.99 psnr_u:38.08 psnr_v:39.57 
n:7 mse_avg:18.87 mse_y:23.97 mse_u:10.13 mse_v:7.19 psnr_avg:35.37 psnr_y:34.33 psnr_u:38.08 psnr_v:39.56 
n:8 mse_avg:18.61 mse_y:23.57 mse_u:10.12 mse_v:7.24 psnr_avg:35.43 psnr_y:34.41 psnr_u:38.08 psnr_v:39.54 
n:9 mse_avg:19.13 mse_y:24.36 mse_u:10.12 mse_v:7.23 psnr_avg:35.31 psnr_y:34.26 psnr_u:38.08 psnr_v:39.54 
n:10 mse_avg:18.31 mse_y:23.15 mse_u:10.08 mse_v:7.21 psnr_avg:35.50 psnr_y:34.49 psnr_u:38.09 psnr_v:39.55 
n:11 mse_avg:16.41 mse_y:20.29 mse_u:10.09 mse_v:7.20 psnr_avg:35.98 psnr_y:35.06 psnr_u:38.09 psnr_v:39.56 
n:12 mse_avg:18.89 mse_y:23.98 mse_u:10.10 mse_v:7.30 psnr_avg:35.37 psnr_y:34.33 psnr_u:38.09 psnr_v:39.50 
n:13 mse_avg:18.51 mse_y:23.40 mse_u:10.17 mse_v:7.30 psnr_avg:35.46 psnr_y:34.44 psnr_u:38.06 psnr_v:39.50 
n:14 mse_avg:17.89 mse_y:22.54 mse_u:10.02 mse_v:7.17 psnr_avg:35.60 psnr_y:34.60 psnr_u:38.12 psnr_v:39.58 
n:15 mse_avg:18.77 mse_y:23.81 mse_u:10.09 mse_v:7.29 psnr_avg:35.40 psnr_y:34.36 psnr_u:38.09 psnr_v:39.50 
n:16 mse_avg:16.60 mse_y:20.57 mse_u:10.10 mse_v:7.20 psnr_avg:35.93 psnr_y:35.00 psnr_u:38.09 psnr_v:39.56 
n:17 mse_avg:19.31 mse_y:24.59 mse_u:10.10 mse_v:7.38 psnr_avg:35.27 psnr_y:34.22 psnr_u:38.09 psnr_v:39.45 
n:18 mse_avg:18.84 mse_y:23.92 mse_u:10.07 mse_v:7.29 psnr_avg:35.38 psnr_y:34.34 psnr_u:38.10 psnr_v:39.50 
n:19 mse_avg:19.04 mse_y:24.19 mse_u:10.17 mse_v:7.30 psnr_avg:35.33 psnr_y:34.29 psnr_u:38.06 psnr_v:39.50 
n:20 mse_avg:18.05 mse_y:22.75 mse_u:10.09 mse_v:7.24 psnr_avg:35.57 psnr_y:34.56 psnr_u:38.09 psnr_v:39.53 
n:21 mse_avg:16.56 mse_y:20.51 mse_u:10.05 mse_v:7.24 psnr_avg:35.94 psnr_y:35.01 psnr_u:38.11 psnr_v:39.53 
n:22 mse_avg:17.96 mse_y:22.59 mse_u:10.13 mse_v:7.26 psnr_avg:35.59 psnr_y:34.59 psnr_u:38.08 psnr_v:39.52 
n:23 mse_avg:18.78 mse_y:23.85 mse_u:10.08 mse_v:7.23 psnr_avg:35.39 psnr_y:34.36 psnr_u:38.10 psnr_v:39.54 
n:24 mse_avg:18.37 mse_y:23.23 mse_u:10.11 mse_v:7.21 psnr_avg:35.49 psnr_y:34.47 psnr_u:38.08 psnr_v:39.55 
n:25 mse_avg:19.28 mse_y:24.59 mse_u:10.06 mse_v:7.26 psnr_avg:35.28 psnr_y:34.22 psnr_u:38.10 psnr_v:39.52 
n:26 mse_avg:16.54 mse_y:20.48 mse_u:10.10 mse_v:7.24 psnr_avg:35.95 psnr_y:35.02 psnr_u:38.09 psnr_v:39.53 
n:27 mse_avg:18.50 mse_y:23.41 mse_u:10.12 mse_v:7.24 psnr_avg:35.46 psnr_y:34.44 psnr_u:38.08 psnr_v:39.53 
n:28 mse_avg:17.92 mse_y:22.55 mse_u:10.08 mse_v:7.23 psnr_avg:35.60 psnr_y:34.60 psnr_u:38.10 psnr_v:39.54 
n:29 mse_avg:17.85 mse_y:22.44 mse_u:10.11 mse_v:7.21 psnr_avg:35.62 psnr_y:34.62 psnr_u:38.08 psnr_v:39.55 
n:30 mse_avg:17.35 mse_y:21.72 mse_u:10.03 mse_v:7.19 psnr_avg:35.74 psnr_y:34.76 psnr_u:38.12 psnr_v:39.56 
n:31 mse_avg:16.64 mse_y:20.65 mse_u:10.07 mse_v:7.22 psnr_avg:35.92 psnr_y:34.98 psnr_u:38.10 psnr_v:39.54 
n:32 mse_avg:18.02 mse_y:22.70 mse_u:10.09 mse_v:7.22 psnr_avg:35.57 psnr_y:34.57 psnr_u:38.09 psnr_v:39.55 
n:33 mse_avg:19.05 mse_y:24.25 mse_u:10.06 mse_v:7.23 psnr_avg:35.33 psnr_y:34.28 psnr_u:38.10 psnr_v:39.54 
n:34 mse_avg:18.32 mse_y:23.20 mse_u:9.99 mse_v:7.16 psnr_avg:35.50 psnr_y:34.48 psnr_u:38.13 psnr_v:39.58 
n:35 mse_avg:17.99 mse_y:22.67 mse_u:10.04 mse_v:7.22 psnr_avg:35.58 psnr_y:34.58 psnr_u:38.11 psnr_v:39.55 
n:36 mse_avg:16.39 mse_y:20.29 mse_u:10.03 mse_v:7.16 psnr_avg:35.98 psnr_y:35.06 psnr_u:38.12 psnr_v:39.58 
n:37 mse_avg:17.84 mse_y:22.43 mse_u:10.09 mse_v:7.21 psnr_avg:35.62 psnr_y:34.62 psnr_u:38.09 psnr_v:39.55 
n:38 mse_avg:17.94 mse_y:22.60 mse_u:10.05 mse_v:7.22 psnr_avg:35.59 psnr_y:34.59 psnr_u:38.11 psnr_v:39.55 
n:39 mse_avg:18.76 mse_y:23.81 mse_u:10.04 mse_v:7.23 psnr_avg:35.40 psnr_y:34.36 psnr_u:38.11 psnr_v:39.54 
n:40 mse_avg:19.24 mse_y:24.52 mse_u:10.10 mse_v:7.27 psnr_avg:35.29 psnr_y:34.24 psnr_u:38.09 psnr_v:39.51 
n:41 mse_avg:16.41 mse_y:20.30 mse_u:10.07 mse_v:7.17 psnr_avg:35.98 psnr_y:35.05 psnr_u:38.10 psnr_v:39.58 
n:42 mse_avg:18.90 mse_y:24.02 mse_u:10.09 mse_v:7.22 psnr_avg:35.37 psnr_y:34.32 psnr_u:38.09 psnr_v:39.55 
n:43 mse_avg:18.21 mse_y:23.00 mse_u:10.07 mse_v:7.21 psnr_avg:35.53 psnr_y:34.51 psnr_u:38.10 psnr_v:39.55 
n:44 mse_avg:18.42 mse_y:23.32 mse_u:10.04 mse_v:7.21 psnr_avg:35.48 psnr_y:34.45 psnr_u:38.11 psnr_v:39.55 
n:45 mse_avg:18.33 mse_y:23.20 mse_u:10.03 mse_v:7.17 psnr_avg:35.50 psnr_y:34.48 psnr_u:38.12 psnr_v:39.58 
n:46 mse_avg:16.48 mse_y:20.40 mse_u:10.10 mse_v:7.20 psnr_avg:35.96 psnr_y:35.03 psnr_u:38.09 psnr_v:39.56 
n:47 mse_avg:17.44 mse_y:21.86 mse_u:10.05 mse_v:7.18 psnr_avg:35.71 psnr_y:34.73 psnr_u:38.11 psnr_v:39.57 
n:48 mse_avg:18.29 mse_y:23.10 mse_u:10.11 mse_v:7.25 psnr_avg:35.51 psnr_y:34.50 psnr_u:38.08 psnr_v:39.53 
n:49 mse_avg:18.22 mse_y:23.07 mse_u:9.90 mse_v:7.16 psnr_avg:35.53 psnr_y:34.50 psnr_u:38.17 psnr_v:39.58 
n:50 mse_avg:18.45 mse_y:23.33 mse_u:10.13 mse_v:7.23 psnr_avg:35.47 psnr_y:34.45 psnr_u:38.07 psnr_v:39.54 
n:51 mse_avg:16.12 mse_y:19.90 mse_u:10.00 mse_v:7.16 psnr_avg:36.06 psnr_y:35.14 psnr_u:38.13 psnr_v:39.58 
n:52 mse_avg:18.96 mse_y:24.10 mse_u:10.12 mse_v:7.27 psnr_avg:35.35 psnr_y:34.31 psnr_u:38.08 psnr_v:39.52 
n:53 mse_avg:18.87 mse_y:23.97 mse_u:10.09 mse_v:7.25 psnr_avg:35.37 psnr_y:34.33 psnr_u:38.09 psnr_v:39.53 
n:54 mse_avg:18.96 mse_y:24.10 mse_u:10.12 mse_v:7.23 psnr_avg:35.35 psnr_y:34.31 psnr_u:38.08 psnr_v:39.54 
n:55 mse_avg:18.25 mse_y:23.03 mse_u:10.14 mse_v:7.25 psnr_avg:35.52 psnr_y:34.51 psnr_u:38.07 psnr_v:39.53 
n:56 mse_avg:16.51 mse_y:20.45 mse_u:10.09 mse_v:7.19 psnr_avg:35.95 psnr_y:35.02 psnr_u:38.09 psnr_v:39.56 
n:57 mse_avg:18.48 mse_y:23.42 mse_u:10.05 mse_v:7.20 psnr_avg:35.46 psnr_y:34.44 psnr_u:38.11 psnr_v:39.56 
n:58 mse_avg:18.78 mse_y:23.84 mse_u:10.04 mse_v:7.25 psnr_avg:35.39 psnr_y:34.36 psnr_u:38.11 psnr_v:39.53 
n:59 mse_avg:18.82 mse_y:23.89 mse_u:10.12 mse_v:7.26 psnr_avg:35.38 psnr_y:34.35 psnr_u:38.08 psnr_v:39.52 
n:60 mse_avg:18.92 mse_y:24.05 mse_u:10.08 mse_v:7.25 psnr_avg:35.36 psnr_y:34.32 psnr_u:38.09 psnr_v:39.53 
n:61 mse_avg:16.23 mse_y:20.04 mse_u:10.02 mse_v:7.16 psnr_avg:36.03 psnr_y:35.11 psnr_u:38.12 psnr_v:39.58 
n:62 mse_avg:18.16 mse_y:22.94 mse_u:10.02 mse_v:7.16 psnr_avg:35.54 psnr_y:34.53 psnr_u:38.12 psnr_v:39.58 
n:63 mse_avg:19.39 mse_y:24.72 mse_u:10.13 mse_v:7.31 psnr_avg:35.26 psnr_y:34.20 psnr_u:38.07 psnr_v:39.49 
n:64 mse_avg:18.70 mse_y:23.71 mse_u:10.10 mse_v:7.26 psnr_avg:35.41 psnr_y:34.38 psnr_u:38.09 psnr_v:39.52 
n:65 mse_avg:18.67 mse_y:23.68 mse_u:10.06 mse_v:7.25 psnr_avg:35.42 psnr_y:34.39 psnr_u:38.11 psnr_v:39.53 
n:66 mse_avg:15.73 mse_y:19.36 mse_u:9.84 mse_v:7.11 psnr_avg:36.16 psnr_y:35.26 psnr_u:38.20 psnr_v:39.61 
n:67 mse_avg:18.33 mse_y:23.18 mse_u:10.02 mse_v:7.24 psnr_avg:35.50 psnr_y:34.48 psnr_u:38.12 psnr_v:39.53 
n:68 mse_avg:17.22 mse_y:21.59 mse_u:9.84 mse_v:7.15 psnr_avg:35.77 psnr_y:34.79 psnr_u:38.20 psnr_v:39.59 
n:69 mse_avg:17.58 mse_y:22.08 mse_u:9.98 mse_v:7.14 psnr_avg:35.68 psnr_y:34.69 psnr_u:38.14 psnr_v:39.59 
n:70 mse_avg:16.94 mse_y:21.14 mse_u:9.93 mse_v:7.12 psnr_avg:35.84 psnr_y:34.88 psnr_u:38.16 psnr_v:39.60 
n:71 mse_avg:16.06 mse_y:19.82 mse_u:9.97 mse_v:7.13 psnr_avg:36.07 psnr_y:35.16 psnr_u:38.14 psnr_v:39.60 
n:72 mse_avg:17.58 mse_y:22.11 mse_u:9.90 mse_v:7.15 psnr_avg:35.68 psnr_y:34.68 psnr_u:38.18 psnr_v:39.59 
n:73 mse_avg:18.85 mse_y:23.94 mse_u:10.09 mse_v:7.26 psnr_avg:35.38 psnr_y:34.34 psnr_u:38.09 psnr_v:39.52 
n:74 mse_avg:17.29 mse_y:21.63 mse_u:9.99 mse_v:7.20 psnr_avg:35.75 psnr_y:34.78 psnr_u:38.13 psnr_v:39.55 
n:75 mse_avg:18.00 mse_y:22.69 mse_u:10.02 mse_v:7.23 psnr_avg:35.58 psnr_y:34.57 psnr_u:38.12 psnr_v:39.54 
n:76 mse_avg:16.19 mse_y:19.99 mse_u:9.99 mse_v:7.18 psnr_avg:36.04 psnr_y:35.12 psnr_u:38.14 psnr_v:39.57 
