n:39 mse_avg:12.76 mse_y:14.89 mse_u:9.15 mse_v:7.85 psnr_avg:37.07 psnr_y:36.40 psnr_u:38.51 psnr_v:39.18 
n:40 mse_avg:12.74 mse_y:14.88 mse_u:9.11 mse_v:7.82 psnr_avg:37.08 psnr_y:36.40 psnr_u:38.53 psnr_v:39.20 
n:41 mse_avg:12.63 mse_y:14.75 mse_u:9.03 mse_v:7.74 psnr_avg:37.12 psnr_y:36.44 psnr_u:38.57 psnr_v:39.24 
n:42 mse_avg:12.49 mse_y:14.57 mse_u:8.99 mse_v:7.70 psnr_avg:37.16 psnr_y:36.50 psnr_u:38.59 psnr_v:39.27 
n:43 mse_avg:12.27 mse_y:14.27 mse_u:8.92 mse_v:7.62 psnr_avg:37.24 psnr_y:36.59 psnr_u:38.63 psnr_v:39.31 
n:44 mse_avg:12.27 mse_y:14.26 mse_u:8.94 mse_v:7.65 psnr_avg:37.24 psnr_y:36.59 psnr_u:38.62 psnr_v:39.30 
n:45 mse_avg:12.31 mse_y:14.32 mse_u:8.93 mse_v:7.65 psnr_avg:37.23 psnr_y:36.57 psnr_u:38.62 psnr_v:39.29 
n:46 mse_avg:12.03 mse_y:13.93 mse_u:8.88 mse_v:7.54 psnr_avg:37.33 psnr_y:36.69 psnr_u:38.65 psnr_v:39.36 
n:47 mse_avg:12.54 mse_y:14.64 mse_u:9.00 mse_v:7.70 psnr_avg:37.15 psnr_y:36.48 psnr_u:38.59 psnr_v:39.27 
n:48 mse_avg:12.27 mse_y:14.27 mse_u:8.93 mse_v:7.58 psnr_avg:37.24 psnr_y:36.59 psnr_u:38.62 psnr_v:39.33 
n:49 mse_avg:10.88 mse_y:12.29 mse_u:8.67 mse_v:7.46 psnr_avg:37.76 psnr_y:37.24 psnr_u:38.75 psnr_v:39.40 
n:50 mse_avg:12.70 mse_y:14.83 mse_u:9.13 mse_v:7.75 psnr_avg:37.09 psnr_y:36.42 psnr_u:38.53 psnr_v:39.24 
n:51 mse_avg:12.50 mse_y:14.57 mse_u:9.03 mse_v:7.69 psnr_avg:37.16 psnr_y:36.50 psnr_u:38.57 psnr_v:39.27 
n:52 mse_avg:12.56 mse_y:14.65 mse_u:9.04 mse_v:7.69 psnr_avg:37.14 psnr_y:36.47 psnr_u:38.57 psnr_v:39.27 
n:53 mse_avg:12.48 mse_y:14.52 mse_u:9.08 mse_v:7.70 psnr_avg:37.17 psnr_y:36.51 psnr_u:38.55 psnr_v:39.27 
n:54 mse_avg:12.41 mse_y:14.44 mse_u:9.00 mse_v:7.68 psnr_avg:37.19 psnr_y:36.53 psnr_u:38.59 psnr_v:39.28 
n:55 mse_avg:12.63 mse_y:14.75 mse_u:9.07 mse_v:7.73 psnr_avg:37.12 psnr_y:36.44 psnr_u:38.56 psnr_v:39.25 
n:56 mse_avg:12.61 mse_y:14.72 mse_u:8.99 mse_v:7.77 psnr_avg:37.12 psnr_y:36.45 psnr_u:38.59 psnr_v:39.23 
n:57 mse_avg:12.43 mse_y:14.48 mse_u:8.97 mse_v:7.71 psnr_avg:37.19 psnr_y:36.52 psnr_u:38.60 psnr_v:39.26 
n:58 mse_avg:12.25 mse_y:14.27 mse_u:8.85 mse_v:7.61 psnr_avg:37.25 psnr_y:36.59 psnr_u:38.66 psnr_v:39.32 
n:59 mse_avg:12.40 mse_y:14.43 mse_u:8.95 mse_v:7.69 psnr_avg:37.20 psnr_y:36.54 psnr_u:38.61 psnr_v:39.27 
n:60 mse_avg:12.14 mse_y:14.09 mse_u:8.82 mse_v:7.65 psnr_avg:37.29 psnr_y:36.64 psnr_u:38.68 psnr_v:39.30 
n:61 mse_avg:10.60 mse_y:11.89 mse_u:8.67 mse_v:7.40 psnr_avg:37.88 psnr_y:37.38 psnr_u:38.75 psnr_v:39.44 
n:62 mse_avg:12.59 mse_y:14.67 mse_u:9.12 mse_v:7.73 psnr_avg:37.13 psnr_y:36.47 psnr_u:38.53 psnr_v:39.25 
n:63 mse_avg:12.35 mse_y:14.34 mse_u:9.04 mse_v:7.69 psnr_avg:37.21 psnr_y:36.57 psnr_u:38.57 psnr_v:39.27 
n:64 mse_avg:12.31 mse_y:14.31 mse_u:8.95 mse_v:7.63 psnr_avg:37.23 psnr_y:36.57 psnr_u:38.61 psnr_v:39.30 
n:65 mse_avg:12.20 mse_y:14.18 mse_u:8.89 mse_v:7.58 psnr_avg:37.27 psnr_y:36.62 psnr_u:38.64 psnr_v:39.33 
n:66 mse_avg:12.47 mse_y:14.57 mse_u:8.91 mse_v:7.66 psnr_avg:37.17 psnr_y:36.50 psnr_u:38.63 psnr_v:39.29 
n:67 mse_avg:12.26 mse_y:14.24 mse_u:8.93 mse_v:7.64 psnr_avg:37.25 psnr_y:36.59 psnr_u:38.62 psnr_v:39.30 
n:68 mse_avg:12.51 mse_y:14.59 mse_u:8.96 mse_v:7.72 psnr_avg:37.16 psnr_y:36.49 psnr_u:38.61 psnr_v:39.25 
n:69 mse_avg:12.12 mse_y:14.06 mse_u:8.88 mse_v:7.62 psnr_avg:37.29 psnr_y:36.65 psnr_u:38.65 psnr_v:39.31 
n:70 mse_avg:12.26 mse_y:14.23 mse_u:8.93 mse_v:7.72 psnr_avg:37.24 psnr_y:36.60 psnr_u:38.62 psnr_v:39.26 
n:71 mse_avg:11.92 mse_y:13.78 mse_u:8.81 mse_v:7.56 psnr_avg:37.37 psnr_y:36.74 psnr_u:38.68 psnr_v:39.34 
n:72 mse_avg:12.52 mse_y:14.58 mse_u:9.03 mse_v:7.77 psnr_avg:37.15 psnr_y:36.49 psnr_u:38.57 psnr_v:39.23 
n:73 mse_avg:10.44 mse_y:11.66 mse_u:8.60 mse_v:7.40 psnr_avg:37.94 psnr_y:37.46 psnr_u:38.79 psnr_v:39.44 
n:74 mse_avg:12.82 mse_y:14.96 mse_u:9.19 mse_v:7.88 psnr_avg:37.05 psnr_y:36.38 psnr_u:38.50 psnr_v:39.17 
n:75 mse_avg:12.39 mse_y:14.39 mse_u:9.04 mse_v:7.73 psnr_avg:37.20 psnr_y:36.55 psnr_u:38.57 psnr_v:39.25 
n:76 mse_avg:12.30 mse_y:14.31 mse_u:8.91 mse_v:7.67 psnr_avg:37.23 psnr_y:36.58 psnr_u:38.63 psnr_v:39.28 
n:77 mse_avg:12.49 mse_y:14.55 mse_u:9.01 mse_v:7.73 psnr_avg:37.17 psnr_y:36.50 psnr_u:38.59 psnr_v:39.25 
n:78 mse_avg:12.56 mse_y:14.67 mse_u:8.97 mse_v:7.71 psnr_avg:37.14 psnr_y:36.47 psnr_u:38.60 psnr_v:39.26 
n:79 mse_avg:12.01 mse_y:13.92 mse_u:8.85 mse_v:7.55 psnr_avg:37.33 psnr_y:36.69 psnr_u:38.66 psnr_v:39.35 
n:80 mse_avg:12.05 mse_y:13.98 mse_u:8.82 mse_v:7.58 psnr_avg:37.32 psnr_y:36.68 psnr_u:38.68 psnr_v:39.33 
n:81 mse_avg:12.03 mse_y:13.96 mse_u:8.84 mse_v:7.50 psnr_avg:37.33 psnr_y:36.68 psnr_u:38.67 psnr_v:39.38 
