n:1 mse_avg:80.26 mse_y:109.36 mse_u:23.63 mse_v:20.47 psnr_avg:29.09 psnr_y:27.74 psnr_u:34.40 psnr_v:35.02 
n:2 mse_avg:95.81 mse_y:132.10 mse_u:24.87 mse_v:21.58 psnr_avg:28.32 psnr_y:26.92 psnr_u:34.17 psnr_v:34.79 
n:3 mse_avg:98.13 mse_y:135.44 mse_u:24.94 mse_v:22.06 psnr_avg:28.21 psnr_y:26.81 psnr_u:34.16 psnr_v:34.69 
n:4 mse_avg:101.43 mse_y:140.22 mse_u:25.36 mse_v:22.37 psnr_avg:28.07 psnr_y:26.66 psnr_u:34.09 psnr_v:34.63 
n:5 mse_avg:99.00 mse_y:136.30 mse_u:25.73 mse_v:23.06 psnr_avg:28.17 psnr_y:26.79 psnr_u:34.03 psnr_v:34.50 
n:6 mse_avg:101.63 mse_y:140.31 mse_u:25.64 mse_v:22.89 psnr_avg:28.06 psnr_y:26.66 psnr_u:34.04 psnr_v:34.53 
n:7 mse_avg:100.77 mse_y:138.92 mse_u:25.82 mse_v:23.12 psnr_avg:28.10 psnr_y:26.70 psnr_u:34.01 psnr_v:34.49 
n:8 mse_avg:102.85 mse_y:142.09 mse_u:25.74 mse_v:22.97 psnr_avg:28.01 psnr_y:26.61 psnr_u:34.03 psnr_v:34.52 
n:9 mse_avg:96.88 mse_y:132.99 mse_u:26.04 mse_v:23.28 psnr_avg:28.27 psnr_y:26.89 psnr_u:33.97 psnr_v:34.46 
n:10 mse_avg:102.70 mse_y:141.74 mse_u:26.07 mse_v:23.15 psnr_avg:28.02 psnr_y:26.62 psnr_u:33.97 psnr_v:34.48 
n:11 mse_avg:103.81 mse_y:143.25 mse_u:26.46 mse_v:23.38 psnr_avg:27.97 psnr_y:26.57 psnr_u:33.91 psnr_v:34.44 
n:12 mse_avg:103.49 mse_y:142.86 mse_u:26.30 mse_v:23.22 psnr_avg:27.98 psnr_y:26.58 psnr_u:33.93 psnr_v:34.47 
n:13 mse_avg:99.56 mse_y:136.86 mse_u:26.62 mse_v:23.28 psnr_avg:28.15 psnr_y:26.77 psnr_u:33.88 psnr_v:34.46 
n:14 mse_avg:102.97 mse_y:142.17 mse_u:26.06 mse_v:23.05 psnr_avg:28.00 psnr_y:26.60 psnr_u:33.97 psnr_v:34.50 
n:15 mse_avg:97.89 mse_y:134.55 mse_u:26.04 mse_v:23.09 psnr_avg:28.22 psnr_y:26.84 psnr_u:33.98 psnr_v:34.50 
n:16 mse_avg:100.38 mse_y:138.26 mse_u:26.24 mse_v:23.00 psnr_avg:28.11 psnr_y:26.72 psnr_u:33.94 psnr_v:34.51 
n:17 mse_avg:95.83 mse_y:131.29 mse_u:26.62 mse_v:23.16 psnr_avg:28.32 psnr_y:26.95 psnr_u:33.88 psnr_v:34.48 
n:18 mse_avg:99.74 mse_y:137.35 mse_u:26.28 mse_v:22.74 psnr_avg:28.14 psnr_y:26.75 psnr_u:33.94 psnr_v:34.56 
n:19 mse_avg:101.78 mse_y:140.28 mse_u:26.57 mse_v:23.02 psnr_avg:28.05 psnr_y:26.66 psnr_u:33.89 psnr_v:34.51 
