n:39 mse_avg:16.48 mse_y:17.75 mse_u:17.21 mse_v:10.67 psnr_avg:35.96 psnr_y:35.64 psnr_u:35.77 psnr_v:37.85 
n:40 mse_avg:22.35 mse_y:26.34 mse_u:17.90 mse_v:10.85 psnr_avg:34.64 psnr_y:33.92 psnr_u:35.60 psnr_v:37.78 
n:41 mse_avg:13.81 mse_y:14.42 mse_u:14.60 mse_v:10.61 psnr_avg:36.73 psnr_y:36.54 psnr_u:36.49 psnr_v:37.87 
n:42 mse_avg:22.71 mse_y:26.90 mse_u:17.67 mse_v:10.99 psnr_avg:34.57 psnr_y:33.83 psnr_u:35.66 psnr_v:37.72 
n:43 mse_avg:17.19 mse_y:18.60 mse_u:17.67 mse_v:11.09 psnr_avg:35.78 psnr_y:35.44 psnr_u:35.66 psnr_v:37.68 
n:44 mse_avg:23.78 mse_y:28.28 mse_u:18.22 mse_v:11.36 psnr_avg:34.37 psnr_y:33.62 psnr_u:35.53 psnr_v:37.58 
n:45 mse_avg:15.18 mse_y:16.03 mse_u:15.81 mse_v:11.14 psnr_avg:36.32 psnr_y:36.08 psnr_u:36.14 psnr_v:37.66 
n:46 mse_avg:23.07 mse_y:27.21 mse_u:18.36 mse_v:11.21 psnr_avg:34.50 psnr_y:33.78 psnr_u:35.49 psnr_v:37.64 
n:47 mse_avg:16.14 mse_y:17.18 mse_u:17.29 mse_v:10.82 psnr_avg:36.05 psnr_y:35.78 psnr_u:35.75 psnr_v:37.79 
n:48 mse_avg:20.59 mse_y:24.01 mse_u:16.87 mse_v:10.62 psnr_avg:34.99 psnr_y:34.33 psnr_u:35.86 psnr_v:37.87 
n:49 mse_avg:14.87 mse_y:15.79 mse_u:15.47 mse_v:10.60 psnr_avg:36.41 psnr_y:36.15 psnr_u:36.23 psnr_v:37.88 
n:50 mse_avg:22.14 mse_y:26.01 mse_u:17.74 mse_v:11.06 psnr_avg:34.68 psnr_y:33.98 psnr_u:35.64 psnr_v:37.69 
n:51 mse_avg:16.90 mse_y:18.05 mse_u:18.13 mse_v:11.09 psnr_avg:35.85 psnr_y:35.57 psnr_u:35.55 psnr_v:37.68 
n:52 mse_avg:24.14 mse_y:28.40 mse_u:19.62 mse_v:11.65 psnr_avg:34.30 psnr_y:33.60 psnr_u:35.20 psnr_v:37.47 
n:53 mse_avg:15.01 mse_y:15.62 mse_u:16.36 mse_v:11.23 psnr_avg:36.37 psnr_y:36.19 psnr_u:35.99 psnr_v:37.63 
n:54 mse_avg:24.25 mse_y:28.55 mse_u:19.65 mse_v:11.66 psnr_avg:34.28 psnr_y:33.57 psnr_u:35.20 psnr_v:37.46 
n:55 mse_avg:17.94 mse_y:19.21 mse_u:19.34 mse_v:11.44 psnr_avg:35.59 psnr_y:35.29 psnr_u:35.27 psnr_v:37.55 
n:56 mse_avg:23.69 mse_y:27.84 mse_u:19.36 mse_v:11.42 psnr_avg:34.39 psnr_y:33.68 psnr_u:35.26 psnr_v:37.56 
n:57 mse_avg:14.05 mse_y:14.54 mse_u:15.39 mse_v:10.78 psnr_avg:36.65 psnr_y:36.51 psnr_u:36.26 psnr_v:37.80 
n:58 mse_avg:24.17 mse_y:28.35 mse_u:19.80 mse_v:11.83 psnr_avg:34.30 psnr_y:33.61 psnr_u:35.16 psnr_v:37.40 
n:59 mse_avg:19.28 mse_y:20.72 mse_u:20.37 mse_v:12.41 psnr_avg:35.28 psnr_y:34.97 psnr_u:35.04 psnr_v:37.19 
n:60 mse_avg:28.21 mse_y:33.58 mse_u:21.80 mse_v:13.13 psnr_avg:33.63 psnr_y:32.87 psnr_u:34.75 psnr_v:36.95 
n:61 mse_avg:16.51 mse_y:17.19 mse_u:18.12 mse_v:12.17 psnr_avg:35.95 psnr_y:35.78 psnr_u:35.55 psnr_v:37.28 
n:62 mse_avg:27.68 mse_y:33.08 mse_u:20.97 mse_v:12.81 psnr_avg:33.71 psnr_y:32.94 psnr_u:34.91 psnr_v:37.06 
n:63 mse_avg:19.22 mse_y:20.87 mse_u:19.55 mse_v:12.29 psnr_avg:35.29 psnr_y:34.94 psnr_u:35.22 psnr_v:37.23 
