n:1 mse_avg:36.39 mse_y:46.51 mse_u:17.47 mse_v:14.87 psnr_avg:32.52 psnr_y:31.46 psnr_u:35.71 psnr_v:36.41 
n:2 mse_avg:48.27 mse_y:63.46 mse_u:19.35 mse_v:16.40 psnr_avg:31.29 psnr_y:30.11 psnr_u:35.26 psnr_v:35.98 
n:3 mse_avg:47.67 mse_y:62.49 mse_u:19.35 mse_v:16.70 psnr_avg:31.35 psnr_y:30.17 psnr_u:35.26 psnr_v:35.90 
n:4 mse_avg:50.28 mse_y:66.24 mse_u:19.68 mse_v:17.04 psnr_avg:31.12 psnr_y:29.92 psnr_u:35.19 psnr_v:35.82 
n:5 mse_avg:45.52 mse_y:59.14 mse_u:19.55 mse_v:16.98 psnr_avg:31.55 psnr_y:30.41 psnr_u:35.22 psnr_v:35.83 
n:6 mse_avg:50.07 mse_y:65.76 mse_u:19.97 mse_v:17.39 psnr_avg:31.14 psnr_y:29.95 psnr_u:35.13 psnr_v:35.73 
n:7 mse_avg:48.28 mse_y:63.06 mse_u:20.00 mse_v:17.41 psnr_avg:31.29 psnr_y:30.13 psnr_u:35.12 psnr_v:35.72 
n:8 mse_avg:50.46 mse_y:66.30 mse_u:20.11 mse_v:17.43 psnr_avg:31.10 psnr_y:29.92 psnr_u:35.10 psnr_v:35.72 
n:9 mse_avg:44.53 mse_y:57.57 mse_u:19.80 mse_v:17.07 psnr_avg:31.64 psnr_y:30.53 psnr_u:35.16 psnr_v:35.81 
n:10 mse_avg:50.44 mse_y:66.13 mse_u:20.42 mse_v:17.72 psnr_avg:31.10 psnr_y:29.93 psnr_u:35.03 psnr_v:35.65 
n:11 mse_avg:49.64 mse_y:64.91 mse_u:20.48 mse_v:17.71 psnr_avg:31.17 psnr_y:30.01 psnr_u:35.02 psnr_v:35.65 
n:12 mse_avg:50.94 mse_y:66.87 mse_u:20.49 mse_v:17.66 psnr_avg:31.06 psnr_y:29.88 psnr_u:35.02 psnr_v:35.66 
n:13 mse_avg:45.38 mse_y:58.75 mse_u:20.04 mse_v:17.22 psnr_avg:31.56 psnr_y:30.44 psnr_u:35.11 psnr_v:35.77 
n:14 mse_avg:50.29 mse_y:65.95 mse_u:20.33 mse_v:17.58 psnr_avg:31.12 psnr_y:29.94 psnr_u:35.05 psnr_v:35.68 
n:15 mse_avg:46.50 mse_y:60.42 mse_u:20.11 mse_v:17.19 psnr_avg:31.46 psnr_y:30.32 psnr_u:35.10 psnr_v:35.78 
n:16 mse_avg:49.21 mse_y:64.36 mse_u:20.47 mse_v:17.35 psnr_avg:31.21 psnr_y:30.04 psnr_u:35.02 psnr_v:35.74 
n:17 mse_avg:43.96 mse_y:56.62 mse_u:20.25 mse_v:17.07 psnr_avg:31.70 psnr_y:30.60 psnr_u:35.07 psnr_v:35.81 
n:18 mse_avg:47.93 mse_y:62.40 mse_u:20.61 mse_v:17.38 psnr_avg:31.32 psnr_y:30.18 psnr_u:34.99 psnr_v:35.73 
n:19 mse_avg:48.44 mse_y:63.16 mse_u:20.60 mse_v:17.41 psnr_avg:31.28 psnr_y:30.13 psnr_u:34.99 psnr_v:35.72 
n:20 mse_avg:47.69 mse_y:62.14 mse_u:20.31 mse_v:17.27 psnr_avg:31.35 psnr_y:30.20 psnr_u:35.05 psnr_v:35.76 
n:21 mse_avg:45.81 mse_y:59.27 mse_u:20.37 mse_v:17.40 psnr_avg:31.52 psnr_y:30.40 psnr_u:35.04 psnr_v:35.73 
n:22 mse_avg:47.52 mse_y:61.94 mse_u:20.01 mse_v:17.31 psnr_avg:31.36 psnr_y:30.21 psnr_u:35.12 psnr_v:35.75 
n:23 mse_avg:48.94 mse_y:63.90 mse_u:20.51 mse_v:17.52 psnr_avg:31.23 psnr_y:30.08 psnr_u:35.01 psnr_v:35.69 
n:24 mse_avg:50.91 mse_y:66.75 mse_u:20.71 mse_v:17.76 psnr_avg:31.06 psnr_y:29.89 psnr_u:34.97 psnr_v:35.64 
n:25 mse_avg:46.86 mse_y:60.74 mse_u:20.52 mse_v:17.68 psnr_avg:31.42 psnr_y:30.30 psnr_u:35.01 psnr_v:35.66 
n:26 mse_avg:50.90 mse_y:66.71 mse_u:20.76 mse_v:17.84 psnr_avg:31.06 psnr_y:29.89 psnr_u:34.96 psnr_v:35.62 
n:27 mse_avg:51.11 mse_y:66.87 mse_u:21.06 mse_v:18.07 psnr_avg:31.05 psnr_y:29.88 psnr_u:34.90 psnr_v:35.56 
n:28 mse_avg:51.13 mse_y:66.95 mse_u:20.90 mse_v:18.07 psnr_avg:31.04 psnr_y:29.87 psnr_u:34.93 psnr_v:35.56 
n:29 mse_avg:46.12 mse_y:59.57 mse_u:20.67 mse_v:17.76 psnr_avg:31.49 psnr_y:30.38 psnr_u:34.98 psnr_v:35.64 
n:30 mse_avg:50.11 mse_y:65.52 mse_u:20.63 mse_v:17.92 psnr_avg:31.13 psnr_y:29.97 psnr_u:34.99 psnr_v:35.60 
n:31 mse_avg:48.44 mse_y:63.11 mse_u:20.51 mse_v:17.69 psnr_avg:31.28 psnr_y:30.13 psnr_u:35.01 psnr_v:35.65 
n:32 mse_avg:49.91 mse_y:65.26 mse_u:20.65 mse_v:17.78 psnr_avg:31.15 psnr_y:29.98 psnr_u:34.98 psnr_v:35.63 
n:33 mse_avg:44.85 mse_y:57.85 mse_u:20.20 mse_v:17.50 psnr_avg:31.61 psnr_y:30.51 psnr_u:35.08 psnr_v:35.70 
n:34 mse_avg:47.12 mse_y:61.33 mse_u:19.97 mse_v:17.42 psnr_avg:31.40 psnr_y:30.25 psnr_u:35.13 psnr_v:35.72 
n:35 mse_avg:47.93 mse_y:62.37 mse_u:20.46 mse_v:17.64 psnr_avg:31.32 psnr_y:30.18 psnr_u:35.02 psnr_v:35.66 
n:36 mse_avg:49.02 mse_y:63.97 mse_u:20.55 mse_v:17.69 psnr_avg:31.23 psnr_y:30.07 psnr_u:35.00 psnr_v:35.65 
n:37 mse_avg:43.89 mse_y:56.51 mse_u:20.01 mse_v:17.31 psnr_avg:31.71 psnr_y:30.61 psnr_u:35.12 psnr_v:35.75 
n:38 mse_avg:49.15 mse_y:64.13 mse_u:20.62 mse_v:17.76 psnr_avg:31.22 psnr_y:30.06 psnr_u:34.99 psnr_v:35.64 
n:39 mse_avg:49.22 mse_y:64.24 mse_u:20.57 mse_v:17.75 psnr_avg:31.21 psnr_y:30.05 psnr_u:35.00 psnr_v:35.64 
n:40 mse_avg:50.92 mse_y:66.68 mse_u:20.88 mse_v:17.88 psnr_avg:31.06 psnr_y:29.89 psnr_u:34.93 psnr_v:35.61 
n:41 mse_avg:45.74 mse_y:59.10 mse_u:20.37 mse_v:17.64 psnr_avg:31.53 psnr_y:30.41 psnr_u:35.04 psnr_v:35.67 
n:42 mse_avg:49.77 mse_y:65.02 mse_u:20.64 mse_v:17.87 psnr_avg:31.16 psnr_y:30.00 psnr_u:34.98 psnr_v:35.61 
n:43 mse_avg:47.74 mse_y:62.08 mse_u:20.43 mse_v:17.66 psnr_avg:31.34 psnr_y:30.20 psnr_u:35.03 psnr_v:35.66 
n:44 mse_avg:49.06 mse_y:63.97 mse_u:20.71 mse_v:17.76 psnr_avg:31.22 psnr_y:30.07 psnr_u:34.97 psnr_v:35.64 
n:45 mse_avg:44.58 mse_y:57.43 mse_u:20.28 mse_v:17.45 psnr_avg:31.64 psnr_y:30.54 psnr_u:35.06 psnr_v:35.71 
n:46 mse_avg:46.84 mse_y:60.80 mse_u:20.40 mse_v:17.43 psnr_avg:31.42 psnr_y:30.29 psnr_u:35.03 psnr_v:35.72 
n:47 mse_avg:48.77 mse_y:63.61 mse_u:20.56 mse_v:17.62 psnr_avg:31.25 psnr_y:30.10 psnr_u:35.00 psnr_v:35.67 
n:48 mse_avg:47.92 mse_y:62.42 mse_u:20.41 mse_v:17.40 psnr_avg:31.33 psnr_y:30.18 psnr_u:35.03 psnr_v:35.72 
n:49 mse_avg:44.66 mse_y:57.57 mse_u:20.38 mse_v:17.32 psnr_avg:31.63 psnr_y:30.53 psnr_u:35.04 psnr_v:35.74 
n:50 mse_avg:49.39 mse_y:64.55 mse_u:20.54 mse_v:17.61 psnr_avg:31.19 psnr_y:30.03 psnr_u:35.00 psnr_v:35.67 
n:51 mse_avg:47.58 mse_y:61.94 mse_u:20.30 mse_v:17.41 psnr_avg:31.36 psnr_y:30.21 psnr_u:35.06 psnr_v:35.72 
n:52 mse_avg:49.50 mse_y:64.73 mse_u:20.54 mse_v:17.52 psnr_avg:31.18 psnr_y:30.02 psnr_u:35.00 psnr_v:35.69 
n:53 mse_avg:44.27 mse_y:57.02 mse_u:20.21 mse_v:17.35 psnr_avg:31.67 psnr_y:30.57 psnr_u:35.07 psnr_v:35.74 
n:54 mse_avg:48.75 mse_y:63.52 mse_u:20.67 mse_v:17.74 psnr_avg:31.25 psnr_y:30.10 psnr_u:34.98 psnr_v:35.64 
n:55 mse_avg:48.87 mse_y:63.71 mse_u:20.58 mse_v:17.78 psnr_avg:31.24 psnr_y:30.09 psnr_u:35.00 psnr_v:35.63 
n:56 mse_avg:50.04 mse_y:65.47 mse_u:20.50 mse_v:17.86 psnr_avg:31.14 psnr_y:29.97 psnr_u:35.01 psnr_v:35.61 
n:57 mse_avg:44.67 mse_y:57.59 mse_u:20.19 mse_v:17.48 psnr_avg:31.63 psnr_y:30.53 psnr_u:35.08 psnr_v:35.70 
