n:1 mse_avg:113.44 mse_y:154.47 mse_u:33.37 mse_v:29.36 psnr_avg:27.58 psnr_y:26.24 psnr_u:32.90 psnr_v:33.45 
n:2 mse_avg:157.85 mse_y:220.32 mse_u:34.61 mse_v:31.23 psnr_avg:26.15 psnr_y:24.70 psnr_u:32.74 psnr_v:33.19 
n:3 mse_avg:165.56 mse_y:230.82 mse_u:36.19 mse_v:33.87 psnr_avg:25.94 psnr_y:24.50 psnr_u:32.55 psnr_v:32.83 
n:4 mse_avg:168.46 mse_y:234.43 mse_u:37.66 mse_v:35.38 psnr_avg:25.87 psnr_y:24.43 psnr_u:32.37 psnr_v:32.64 
n:5 mse_avg:148.53 mse_y:203.33 mse_u:39.91 mse_v:37.95 psnr_avg:26.41 psnr_y:25.05 psnr_u:32.12 psnr_v:32.34 
n:6 mse_avg:169.36 mse_y:234.37 mse_u:40.08 mse_v:38.57 psnr_avg:25.84 psnr_y:24.43 psnr_u:32.10 psnr_v:32.27 
n:7 mse_avg:166.94 mse_y:230.03 mse_u:41.53 mse_v:40.00 psnr_avg:25.91 psnr_y:24.51 psnr_u:31.95 psnr_v:32.11 
n:8 mse_avg:169.24 mse_y:233.25 mse_u:42.08 mse_v:40.35 psnr_avg:25.85 psnr_y:24.45 psnr_u:31.89 psnr_v:32.07 
n:9 mse_avg:145.40 mse_y:196.49 mse_u:43.84 mse_v:42.60 psnr_avg:26.51 psnr_y:25.20 psnr_u:31.71 psnr_v:31.84 
n:10 mse_avg:175.01 mse_y:241.32 mse_u:43.37 mse_v:41.42 psnr_avg:25.70 psnr_y:24.30 psnr_u:31.76 psnr_v:31.96 
n:11 mse_avg:171.59 mse_y:235.65 mse_u:44.50 mse_v:42.42 psnr_avg:25.79 psnr_y:24.41 psnr_u:31.65 psnr_v:31.86 
n:12 mse_avg:170.99 mse_y:235.05 mse_u:44.03 mse_v:41.71 psnr_avg:25.80 psnr_y:24.42 psnr_u:31.69 psnr_v:31.93 
n:13 mse_avg:149.24 mse_y:201.90 mse_u:45.11 mse_v:42.71 psnr_avg:26.39 psnr_y:25.08 psnr_u:31.59 psnr_v:31.83 
n:14 mse_avg:193.89 mse_y:269.37 mse_u:44.38 mse_v:41.48 psnr_avg:25.26 psnr_y:23.83 psnr_u:31.66 psnr_v:31.95 
n:15 mse_avg:175.92 mse_y:242.34 mse_u:44.46 mse_v:41.74 psnr_avg:25.68 psnr_y:24.29 psnr_u:31.65 psnr_v:31.93 
n:16 mse_avg:170.95 mse_y:235.06 mse_u:44.19 mse_v:41.29 psnr_avg:25.80 psnr_y:24.42 psnr_u:31.68 psnr_v:31.97 
n:17 mse_avg:143.83 mse_y:193.45 mse_u:45.86 mse_v:43.28 psnr_avg:26.55 psnr_y:25.27 psnr_u:31.52 psnr_v:31.77 
