n:39 mse_avg:15.08 mse_y:18.86 mse_u:9.07 mse_v:5.95 psnr_avg:36.35 psnr_y:35.38 psnr_u:38.56 psnr_v:40.38 
n:40 mse_avg:15.62 mse_y:19.63 mse_u:9.18 mse_v:6.06 psnr_avg:36.19 psnr_y:35.20 psnr_u:38.50 psnr_v:40.31 
n:41 mse_avg:10.72 mse_y:12.62 mse_u:8.47 mse_v:5.40 psnr_avg:37.83 psnr_y:37.12 psnr_u:38.85 psnr_v:40.81 
n:42 mse_avg:15.40 mse_y:19.40 mse_u:9.09 mse_v:5.71 psnr_avg:36.26 psnr_y:35.25 psnr_u:38.55 psnr_v:40.56 
n:43 mse_avg:15.12 mse_y:18.97 mse_u:9.06 mse_v:5.78 psnr_avg:36.34 psnr_y:35.35 psnr_u:38.56 psnr_v:40.52 
n:44 mse_avg:15.34 mse_y:19.28 mse_u:9.09 mse_v:5.84 psnr_avg:36.27 psnr_y:35.28 psnr_u:38.54 psnr_v:40.47 
n:45 mse_avg:14.17 mse_y:17.54 mse_u:9.02 mse_v:5.81 psnr_avg:36.62 psnr_y:35.69 psnr_u:38.58 psnr_v:40.49 
n:46 mse_avg:15.55 mse_y:19.56 mse_u:9.15 mse_v:5.92 psnr_avg:36.21 psnr_y:35.22 psnr_u:38.52 psnr_v:40.41 
n:47 mse_avg:14.90 mse_y:18.61 mse_u:9.09 mse_v:5.90 psnr_avg:36.40 psnr_y:35.43 psnr_u:38.54 psnr_v:40.42 
n:48 mse_avg:15.69 mse_y:19.74 mse_u:9.18 mse_v:5.99 psnr_avg:36.18 psnr_y:35.18 psnr_u:38.50 psnr_v:40.35 
n:49 mse_avg:10.58 mse_y:12.42 mse_u:8.40 mse_v:5.37 psnr_avg:37.89 psnr_y:37.19 psnr_u:38.89 psnr_v:40.83 
n:50 mse_avg:15.49 mse_y:19.55 mse_u:9.02 mse_v:5.70 psnr_avg:36.23 psnr_y:35.22 psnr_u:38.58 psnr_v:40.57 
n:51 mse_avg:10.54 mse_y:12.40 mse_u:8.31 mse_v:5.29 psnr_avg:37.90 psnr_y:37.19 psnr_u:38.93 psnr_v:40.89 
n:52 mse_avg:15.49 mse_y:19.59 mse_u:8.95 mse_v:5.62 psnr_avg:36.23 psnr_y:35.21 psnr_u:38.61 psnr_v:40.63 
n:53 mse_avg:14.40 mse_y:17.97 mse_u:8.89 mse_v:5.64 psnr_avg:36.55 psnr_y:35.58 psnr_u:38.64 psnr_v:40.62 
n:54 mse_avg:15.23 mse_y:19.19 mse_u:8.95 mse_v:5.71 psnr_avg:36.30 psnr_y:35.30 psnr_u:38.61 psnr_v:40.56 
n:55 mse_avg:15.21 mse_y:19.12 mse_u:9.01 mse_v:5.77 psnr_avg:36.31 psnr_y:35.32 psnr_u:38.58 psnr_v:40.52 
n:56 mse_avg:15.32 mse_y:19.27 mse_u:9.02 mse_v:5.82 psnr_avg:36.28 psnr_y:35.28 psnr_u:38.58 psnr_v:40.48 
n:57 mse_avg:10.78 mse_y:12.73 mse_u:8.40 mse_v:5.35 psnr_avg:37.81 psnr_y:37.08 psnr_u:38.89 psnr_v:40.85 
