n:1 mse_avg:16.63 mse_y:19.36 mse_u:12.13 mse_v:10.22 psnr_avg:35.92 psnr_y:35.26 psnr_u:37.29 psnr_v:38.04 
n:2 mse_avg:19.75 mse_y:23.79 mse_u:12.68 mse_v:10.69 psnr_avg:35.17 psnr_y:34.37 psnr_u:37.10 psnr_v:37.84 
n:3 mse_avg:19.65 mse_y:23.67 mse_u:12.49 mse_v:10.72 psnr_avg:35.20 psnr_y:34.39 psnr_u:37.17 psnr_v:37.83 
n:4 mse_avg:19.91 mse_y:24.01 mse_u:12.55 mse_v:10.83 psnr_avg:35.14 psnr_y:34.33 psnr_u:37.14 psnr_v:37.78 
n:5 mse_avg:19.89 mse_y:24.01 mse_u:12.48 mse_v:10.78 psnr_avg:35.15 psnr_y:34.33 psnr_u:37.17 psnr_v:37.81 
n:6 mse_avg:19.40 mse_y:23.33 mse_u:12.38 mse_v:10.72 psnr_avg:35.25 psnr_y:34.45 psnr_u:37.20 psnr_v:37.83 
n:7 mse_avg:19.07 mse_y:22.85 mse_u:12.33 mse_v:10.68 psnr_avg:35.33 psnr_y:34.54 psnr_u:37.22 psnr_v:37.84 
n:8 mse_avg:19.44 mse_y:23.39 mse_u:12.42 mse_v:10.67 psnr_avg:35.24 psnr_y:34.44 psnr_u:37.19 psnr_v:37.85 
n:9 mse_avg:18.97 mse_y:22.72 mse_u:12.34 mse_v:10.58 psnr_avg:35.35 psnr_y:34.57 psnr_u:37.22 psnr_v:37.88 
n:10 mse_avg:19.34 mse_y:23.21 mse_u:12.48 mse_v:10.69 psnr_avg:35.27 psnr_y:34.47 psnr_u:37.17 psnr_v:37.84 
n:11 mse_avg:19.43 mse_y:23.35 mse_u:12.50 mse_v:10.68 psnr_avg:35.25 psnr_y:34.45 psnr_u:37.16 psnr_v:37.84 
n:12 mse_avg:19.49 mse_y:23.46 mse_u:12.45 mse_v:10.69 psnr_avg:35.23 psnr_y:34.43 psnr_u:37.18 psnr_v:37.84 
n:13 mse_avg:17.12 mse_y:20.07 mse_u:12.15 mse_v:10.27 psnr_avg:35.80 psnr_y:35.11 psnr_u:37.28 psnr_v:38.02 
n:14 mse_avg:19.34 mse_y:23.25 mse_u:12.45 mse_v:10.57 psnr_avg:35.27 psnr_y:34.47 psnr_u:37.18 psnr_v:37.89 
n:15 mse_avg:18.35 mse_y:21.84 mse_u:12.32 mse_v:10.44 psnr_avg:35.49 psnr_y:34.74 psnr_u:37.22 psnr_v:37.94 
n:16 mse_avg:18.94 mse_y:22.66 mse_u:12.47 mse_v:10.57 psnr_avg:35.36 psnr_y:34.58 psnr_u:37.17 psnr_v:37.89 
n:17 mse_avg:18.51 mse_y:22.02 mse_u:12.43 mse_v:10.51 psnr_avg:35.46 psnr_y:34.70 psnr_u:37.19 psnr_v:37.92 
n:18 mse_avg:18.52 mse_y:22.07 mse_u:12.35 mse_v:10.48 psnr_avg:35.45 psnr_y:34.69 psnr_u:37.21 psnr_v:37.93 
n:19 mse_avg:19.01 mse_y:22.74 mse_u:12.51 mse_v:10.57 psnr_avg:35.34 psnr_y:34.56 psnr_u:37.16 psnr_v:37.89 
n:20 mse_avg:18.58 mse_y:22.15 mse_u:12.35 mse_v:10.50 psnr_avg:35.44 psnr_y:34.68 psnr_u:37.21 psnr_v:37.92 
n:21 mse_avg:19.47 mse_y:23.42 mse_u:12.50 mse_v:10.63 psnr_avg:35.24 psnr_y:34.44 psnr_u:37.16 psnr_v:37.87 
n:22 mse_avg:18.43 mse_y:21.99 mse_u:12.10 mse_v:10.49 psnr_avg:35.48 psnr_y:34.71 psnr_u:37.30 psnr_v:37.92 
n:23 mse_avg:19.18 mse_y:23.03 mse_u:12.38 mse_v:10.61 psnr_avg:35.30 psnr_y:34.51 psnr_u:37.20 psnr_v:37.88 
n:24 mse_avg:19.47 mse_y:23.40 mse_u:12.52 mse_v:10.67 psnr_avg:35.24 psnr_y:34.44 psnr_u:37.16 psnr_v:37.85 
n:25 mse_avg:17.25 mse_y:20.24 mse_u:12.20 mse_v:10.32 psnr_avg:35.76 psnr_y:35.07 psnr_u:37.27 psnr_v:38.00 
n:26 mse_avg:19.49 mse_y:23.40 mse_u:12.64 mse_v:10.67 psnr_avg:35.23 psnr_y:34.44 psnr_u:37.11 psnr_v:37.85 
n:27 mse_avg:19.78 mse_y:23.79 mse_u:12.74 mse_v:10.77 psnr_avg:35.17 psnr_y:34.37 psnr_u:37.08 psnr_v:37.81 
n:28 mse_avg:19.49 mse_y:23.38 mse_u:12.63 mse_v:10.77 psnr_avg:35.23 psnr_y:34.44 psnr_u:37.12 psnr_v:37.81 
n:29 mse_avg:19.38 mse_y:23.22 mse_u:12.70 mse_v:10.73 psnr_avg:35.26 psnr_y:34.47 psnr_u:37.09 psnr_v:37.82 
n:30 mse_avg:19.10 mse_y:22.86 mse_u:12.51 mse_v:10.69 psnr_avg:35.32 psnr_y:34.54 psnr_u:37.16 psnr_v:37.84 
n:31 mse_avg:18.96 mse_y:22.66 mse_u:12.46 mse_v:10.64 psnr_avg:35.35 psnr_y:34.58 psnr_u:37.18 psnr_v:37.86 
n:32 mse_avg:19.23 mse_y:23.02 mse_u:12.55 mse_v:10.72 psnr_avg:35.29 psnr_y:34.51 psnr_u:37.14 psnr_v:37.83 
n:33 mse_avg:18.93 mse_y:22.65 mse_u:12.35 mse_v:10.65 psnr_avg:35.36 psnr_y:34.58 psnr_u:37.21 psnr_v:37.86 
n:34 mse_avg:18.09 mse_y:21.49 mse_u:12.10 mse_v:10.47 psnr_avg:35.56 psnr_y:34.81 psnr_u:37.30 psnr_v:37.93 
n:35 mse_avg:18.82 mse_y:22.45 mse_u:12.44 mse_v:10.65 psnr_avg:35.39 psnr_y:34.62 psnr_u:37.18 psnr_v:37.86 
n:36 mse_avg:18.77 mse_y:22.41 mse_u:12.32 mse_v:10.63 psnr_avg:35.40 psnr_y:34.63 psnr_u:37.22 psnr_v:37.87 
n:37 mse_avg:16.30 mse_y:18.92 mse_u:11.94 mse_v:10.17 psnr_avg:36.01 psnr_y:35.36 psnr_u:37.36 psnr_v:38.06 
n:38 mse_avg:19.06 mse_y:22.82 mse_u:12.50 mse_v:10.58 psnr_avg:35.33 psnr_y:34.55 psnr_u:37.16 psnr_v:37.88 
n:39 mse_avg:19.26 mse_y:23.06 mse_u:12.55 mse_v:10.74 psnr_avg:35.28 psnr_y:34.50 psnr_u:37.15 psnr_v:37.82 
n:40 mse_avg:19.36 mse_y:23.21 mse_u:12.57 mse_v:10.76 psnr_avg:35.26 psnr_y:34.47 psnr_u:37.14 psnr_v:37.81 
n:41 mse_avg:19.28 mse_y:23.11 mse_u:12.55 mse_v:10.70 psnr_avg:35.28 psnr_y:34.49 psnr_u:37.14 psnr_v:37.84 
n:42 mse_avg:18.93 mse_y:22.63 mse_u:12.45 mse_v:10.60 psnr_avg:35.36 psnr_y:34.58 psnr_u:37.18 psnr_v:37.88 
n:43 mse_avg:18.62 mse_y:22.19 mse_u:12.39 mse_v:10.59 psnr_avg:35.43 psnr_y:34.67 psnr_u:37.20 psnr_v:37.88 
n:44 mse_avg:18.61 mse_y:22.16 mse_u:12.42 mse_v:10.60 psnr_avg:35.43 psnr_y:34.67 psnr_u:37.19 psnr_v:37.88 
n:45 mse_avg:18.63 mse_y:22.21 mse_u:12.37 mse_v:10.57 psnr_avg:35.43 psnr_y:34.67 psnr_u:37.21 psnr_v:37.89 
n:46 mse_avg:18.11 mse_y:21.47 mse_u:12.37 mse_v:10.42 psnr_avg:35.55 psnr_y:34.81 psnr_u:37.21 psnr_v:37.95 
n:47 mse_avg:19.00 mse_y:22.71 mse_u:12.53 mse_v:10.63 psnr_avg:35.34 psnr_y:34.57 psnr_u:37.15 psnr_v:37.87 
n:48 mse_avg:18.42 mse_y:21.93 mse_u:12.37 mse_v:10.44 psnr_avg:35.48 psnr_y:34.72 psnr_u:37.21 psnr_v:37.94 
n:49 mse_avg:16.52 mse_y:19.21 mse_u:12.07 mse_v:10.23 psnr_avg:35.95 psnr_y:35.30 psnr_u:37.31 psnr_v:38.03 
n:50 mse_avg:19.06 mse_y:22.81 mse_u:12.58 mse_v:10.56 psnr_avg:35.33 psnr_y:34.55 psnr_u:37.13 psnr_v:37.90 
n:51 mse_avg:18.74 mse_y:22.34 mse_u:12.51 mse_v:10.58 psnr_avg:35.40 psnr_y:34.64 psnr_u:37.16 psnr_v:37.89 
n:52 mse_avg:18.89 mse_y:22.57 mse_u:12.52 mse_v:10.57 psnr_avg:35.37 psnr_y:34.60 psnr_u:37.15 psnr_v:37.89 
n:53 mse_avg:18.69 mse_y:22.26 mse_u:12.52 mse_v:10.60 psnr_avg:35.41 psnr_y:34.66 psnr_u:37.16 psnr_v:37.88 
n:54 mse_avg:18.63 mse_y:22.20 mse_u:12.42 mse_v:10.59 psnr_avg:35.43 psnr_y:34.67 psnr_u:37.19 psnr_v:37.88 
n:55 mse_avg:19.12 mse_y:22.88 mse_u:12.51 mse_v:10.68 psnr_avg:35.32 psnr_y:34.54 psnr_u:37.16 psnr_v:37.85 
n:56 mse_avg:19.07 mse_y:22.80 mse_u:12.44 mse_v:10.75 psnr_avg:35.33 psnr_y:34.55 psnr_u:37.18 psnr_v:37.82 
n:57 mse_avg:18.75 mse_y:22.36 mse_u:12.42 mse_v:10.64 psnr_avg:35.40 psnr_y:34.64 psnr_u:37.19 psnr_v:37.86 
n:58 mse_avg:18.61 mse_y:22.20 mse_u:12.29 mse_v:10.60 psnr_avg:35.43 psnr_y:34.67 psnr_u:37.23 psnr_v:37.88 
n:59 mse_avg:18.69 mse_y:22.26 mse_u:12.45 mse_v:10.65 psnr_avg:35.41 psnr_y:34.66 psnr_u:37.18 psnr_v:37.86 
n:60 mse_avg:18.27 mse_y:21.69 mse_u:12.29 mse_v:10.58 psnr_avg:35.51 psnr_y:34.77 psnr_u:37.24 psnr_v:37.89 
n:61 mse_avg:15.98 mse_y:18.44 mse_u:12.01 mse_v:10.14 psnr_avg:36.09 psnr_y:35.47 psnr_u:37.34 psnr_v:38.07 
