n:1 mse_avg:9.64 mse_y:10.43 mse_u:8.52 mse_v:7.62 psnr_avg:38.29 psnr_y:37.95 psnr_u:38.83 psnr_v:39.31 
n:2 mse_avg:21.17 mse_y:26.50 mse_u:11.37 mse_v:9.66 psnr_avg:34.87 psnr_y:33.90 psnr_u:37.57 psnr_v:38.28 
n:3 mse_avg:18.23 mse_y:22.06 mse_u:11.38 mse_v:9.80 psnr_avg:35.52 psnr_y:34.70 psnr_u:37.57 psnr_v:38.22 
n:4 mse_avg:21.68 mse_y:27.04 mse_u:11.77 mse_v:10.15 psnr_avg:34.77 psnr_y:33.81 psnr_u:37.42 psnr_v:38.07 
n:5 mse_avg:14.12 mse_y:16.17 mse_u:10.67 mse_v:9.38 psnr_avg:36.63 psnr_y:36.04 psnr_u:37.85 psnr_v:38.41 
n:6 mse_avg:21.39 mse_y:26.58 mse_u:11.81 mse_v:10.22 psnr_avg:34.83 psnr_y:33.88 psnr_u:37.41 psnr_v:38.04 
n:7 mse_avg:17.92 mse_y:21.49 mse_u:11.57 mse_v:10.01 psnr_avg:35.60 psnr_y:34.81 psnr_u:37.50 psnr_v:38.13 
n:8 mse_avg:21.45 mse_y:26.63 mse_u:11.90 mse_v:10.28 psnr_avg:34.82 psnr_y:33.88 psnr_u:37.37 psnr_v:38.01 
n:9 mse_avg:13.64 mse_y:15.49 mse_u:10.58 mse_v:9.30 psnr_avg:36.78 psnr_y:36.23 psnr_u:37.89 psnr_v:38.44 
n:10 mse_avg:21.22 mse_y:26.21 mse_u:12.05 mse_v:10.43 psnr_avg:34.86 psnr_y:33.95 psnr_u:37.32 psnr_v:37.95 
n:11 mse_avg:18.31 mse_y:21.96 mse_u:11.82 mse_v:10.18 psnr_avg:35.50 psnr_y:34.71 psnr_u:37.40 psnr_v:38.05 
n:12 mse_avg:21.73 mse_y:27.02 mse_u:11.95 mse_v:10.35 psnr_avg:34.76 psnr_y:33.81 psnr_u:37.36 psnr_v:37.98 
n:13 mse_avg:13.80 mse_y:15.70 mse_u:10.66 mse_v:9.37 psnr_avg:36.73 psnr_y:36.17 psnr_u:37.86 psnr_v:38.42 
n:14 mse_avg:21.31 mse_y:26.40 mse_u:11.93 mse_v:10.32 psnr_avg:34.84 psnr_y:33.91 psnr_u:37.36 psnr_v:37.99 
n:15 mse_avg:17.42 mse_y:20.78 mse_u:11.45 mse_v:9.93 psnr_avg:35.72 psnr_y:34.95 psnr_u:37.54 psnr_v:38.16 
