n:1 mse_avg:8.96 mse_y:9.98 mse_u:8.04 mse_v:5.78 psnr_avg:38.61 psnr_y:38.14 psnr_u:39.08 psnr_v:40.51 
n:2 mse_avg:9.87 mse_y:11.35 mse_u:7.96 mse_v:5.83 psnr_avg:38.19 psnr_y:37.58 psnr_u:39.12 psnr_v:40.47 
n:3 mse_avg:9.67 mse_y:11.14 mse_u:7.72 mse_v:5.72 psnr_avg:38.28 psnr_y:37.66 psnr_u:39.26 psnr_v:40.56 
n:4 mse_avg:9.41 mse_y:10.87 mse_u:7.46 mse_v:5.55 psnr_avg:38.39 psnr_y:37.77 psnr_u:39.40 psnr_v:40.69 
n:5 mse_avg:9.26 mse_y:10.74 mse_u:7.24 mse_v:5.37 psnr_avg:38.46 psnr_y:37.82 psnr_u:39.54 psnr_v:40.83 
n:6 mse_avg:8.96 mse_y:10.39 mse_u:7.03 mse_v:5.21 psnr_avg:38.61 psnr_y:37.97 psnr_u:39.66 psnr_v:40.96 
n:7 mse_avg:8.60 mse_y:9.94 mse_u:6.85 mse_v:5.01 psnr_avg:38.78 psnr_y:38.16 psnr_u:39.77 psnr_v:41.13 
n:8 mse_avg:8.61 mse_y:9.95 mse_u:6.88 mse_v:4.96 psnr_avg:38.78 psnr_y:38.15 psnr_u:39.76 psnr_v:41.17 
n:9 mse_avg:8.46 mse_y:9.73 mse_u:6.83 mse_v:4.99 psnr_avg:38.86 psnr_y:38.25 psnr_u:39.79 psnr_v:41.15 
n:10 mse_avg:8.73 mse_y:10.09 mse_u:6.92 mse_v:5.10 psnr_avg:38.72 psnr_y:38.09 psnr_u:39.73 psnr_v:41.06 
n:11 mse_avg:9.10 mse_y:10.54 mse_u:7.13 mse_v:5.28 psnr_avg:38.54 psnr_y:37.90 psnr_u:39.60 psnr_v:40.91 
n:12 mse_avg:9.00 mse_y:10.38 mse_u:7.20 mse_v:5.31 psnr_avg:38.59 psnr_y:37.97 psnr_u:39.56 psnr_v:40.88 
n:13 mse_avg:8.18 mse_y:9.18 mse_u:7.20 mse_v:5.18 psnr_avg:39.00 psnr_y:38.50 psnr_u:39.56 psnr_v:40.99 
n:14 mse_avg:9.84 mse_y:11.33 mse_u:7.98 mse_v:5.74 psnr_avg:38.20 psnr_y:37.59 psnr_u:39.11 psnr_v:40.54 
n:15 mse_avg:10.02 mse_y:11.55 mse_u:8.08 mse_v:5.88 psnr_avg:38.12 psnr_y:37.51 psnr_u:39.05 psnr_v:40.44 
n:16 mse_avg:9.97 mse_y:11.45 mse_u:8.09 mse_v:5.93 psnr_avg:38.14 psnr_y:37.54 psnr_u:39.05 psnr_v:40.40 
n:17 mse_avg:10.12 mse_y:11.64 mse_u:8.11 mse_v:6.05 psnr_avg:38.08 psnr_y:37.47 psnr_u:39.04 psnr_v:40.31 
n:18 mse_avg:10.16 mse_y:11.71 mse_u:8.04 mse_v:6.04 psnr_avg:38.06 psnr_y:37.44 psnr_u:39.08 psnr_v:40.32 
n:19 mse_avg:10.05 mse_y:11.56 mse_u:8.02 mse_v:6.06 psnr_avg:38.11 psnr_y:37.50 psnr_u:39.09 psnr_v:40.30 
n:20 mse_avg:9.93 mse_y:11.39 mse_u:7.98 mse_v:6.03 psnr_avg:38.16 psnr_y:37.56 psnr_u:39.11 psnr_v:40.32 
n:21 mse_avg:9.99 mse_y:11.45 mse_u:8.08 mse_v:6.03 psnr_avg:38.14 psnr_y:37.54 psnr_u:39.06 psnr_v:40.33 
n:22 mse_avg:9.96 mse_y:11.39 mse_u:8.13 mse_v:6.09 psnr_avg:38.15 psnr_y:37.57 psnr_u:39.03 psnr_v:40.29 
n:23 mse_avg:10.48 mse_y:12.04 mse_u:8.39 mse_v:6.36 psnr_avg:37.93 psnr_y:37.33 psnr_u:38.89 psnr_v:40.10 
n:24 mse_avg:10.60 mse_y:12.14 mse_u:8.57 mse_v:6.51 psnr_avg:37.88 psnr_y:37.29 psnr_u:38.80 psnr_v:40.00 
n:25 mse_avg:10.23 mse_y:11.39 mse_u:9.13 mse_v:6.70 psnr_avg:38.03 psnr_y:37.56 psnr_u:38.53 psnr_v:39.87 
n:26 mse_avg:11.22 mse_y:12.81 mse_u:9.20 mse_v:6.88 psnr_avg:37.63 psnr_y:37.05 psnr_u:38.50 psnr_v:39.76 
n:27 mse_avg:11.34 mse_y:12.91 mse_u:9.39 mse_v:6.97 psnr_avg:37.59 psnr_y:37.02 psnr_u:38.41 psnr_v:39.70 
n:28 mse_avg:11.45 mse_y:13.01 mse_u:9.62 mse_v:7.05 psnr_avg:37.54 psnr_y:36.99 psnr_u:38.30 psnr_v:39.65 
n:29 mse_avg:11.79 mse_y:13.42 mse_u:9.82 mse_v:7.23 psnr_avg:37.42 psnr_y:36.85 psnr_u:38.21 psnr_v:39.54 
n:30 mse_avg:11.85 mse_y:13.45 mse_u:10.01 mse_v:7.30 psnr_avg:37.39 psnr_y:36.84 psnr_u:38.13 psnr_v:39.50 
n:31 mse_avg:12.05 mse_y:13.72 mse_u:10.06 mse_v:7.37 psnr_avg:37.32 psnr_y:36.76 psnr_u:38.11 psnr_v:39.46 
n:32 mse_avg:12.35 mse_y:14.09 mse_u:10.23 mse_v:7.50 psnr_avg:37.21 psnr_y:36.64 psnr_u:38.03 psnr_v:39.38 
n:33 mse_avg:12.29 mse_y:13.94 mse_u:10.40 mse_v:7.57 psnr_avg:37.24 psnr_y:36.69 psnr_u:37.96 psnr_v:39.34 
n:34 mse_avg:12.73 mse_y:14.45 mse_u:10.79 mse_v:7.75 psnr_avg:37.08 psnr_y:36.53 psnr_u:37.80 psnr_v:39.24 
n:35 mse_avg:12.82 mse_y:14.51 mse_u:11.00 mse_v:7.87 psnr_avg:37.05 psnr_y:36.51 psnr_u:37.72 psnr_v:39.17 
n:36 mse_avg:12.66 mse_y:14.31 mse_u:10.91 mse_v:7.78 psnr_avg:37.11 psnr_y:36.57 psnr_u:37.75 psnr_v:39.22 
n:37 mse_avg:11.59 mse_y:12.59 mse_u:11.26 mse_v:7.88 psnr_avg:37.49 psnr_y:37.13 psnr_u:37.62 psnr_v:39.16 
n:38 mse_avg:13.15 mse_y:14.90 mse_u:11.36 mse_v:7.95 psnr_avg:36.94 psnr_y:36.40 psnr_u:37.58 psnr_v:39.13 
n:39 mse_avg:12.92 mse_y:14.63 mse_u:11.18 mse_v:7.86 psnr_avg:37.02 psnr_y:36.48 psnr_u:37.64 psnr_v:39.18 
