Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.847357,0.803641,0.739056,0.843998,0.913006,0.177964,0.514227,0.654361,0.757425,43.207217,
1,7.243034,7.978626,0.781654,0.754533,0.663218,0.765952,0.857983,0.141285,0.439578,0.575803,0.686656,35.163991,
2,6.722310,7.243034,0.782482,0.759948,0.670530,0.762947,0.857397,0.134421,0.422055,0.556882,0.669779,34.275518,
3,6.678193,6.722310,0.773702,0.749805,0.661740,0.748523,0.853154,0.132619,0.420066,0.552996,0.664115,32.547556,
4,6.678193,6.678193,0.815351,0.770975,0.708122,0.801725,0.889945,0.147020,0.453645,0.589419,0.698168,40.784026,
5,7.010418,7.010418,0.770986,0.753911,0.665280,0.743871,0.846783,0.132030,0.416152,0.547226,0.657112,32.100095,
6,7.241679,7.241679,0.782989,0.765504,0.676409,0.758754,0.856342,0.133840,0.416050,0.547044,0.655868,34.183185,
7,7.735896,7.828122,0.772482,0.755030,0.658773,0.746126,0.851023,0.132377,0.417203,0.548259,0.657886,32.976892,
8,7.570023,7.735896,0.816528,0.780450,0.707313,0.802424,0.888427,0.149226,0.452672,0.588235,0.696858,41.691331,
9,7.570023,7.570023,0.765135,0.751561,0.644937,0.741231,0.842623,0.127817,0.406581,0.537761,0.649711,31.473748,
10,7.518906,8.707140,0.778012,0.755409,0.665002,0.753653,0.856327,0.130017,0.410091,0.540237,0.650913,33.483988,
11,7.518906,7.518906,0.773135,0.750762,0.654828,0.749788,0.852723,0.130209,0.412924,0.544721,0.654448,32.829218,
12,7.596154,7.596154,0.814094,0.772808,0.698200,0.803276,0.887829,0.144866,0.447920,0.584565,0.693636,41.212518,
13,6.828079,8.209648,0.745462,0.730065,0.607688,0.718657,0.834773,0.115300,0.377945,0.508417,0.623324,27.240526,
14,6.828079,6.828079,0.769184,0.752984,0.645342,0.744045,0.850888,0.126263,0.394786,0.525369,0.637456,31.157461,
15,7.126468,7.126468,0.767309,0.744134,0.641061,0.740659,0.853385,0.128665,0.404631,0.536182,0.647677,31.386239,
16,7.366617,7.366617,0.820258,0.783686,0.714634,0.804464,0.891129,0.148521,0.447848,0.584291,0.694320,42.076532,
17,7.704254,8.125947,0.768213,0.753349,0.645531,0.743785,0.846710,0.128317,0.403213,0.535663,0.647927,32.065975,
18,7.494713,7.704254,0.774586,0.753760,0.653486,0.748151,0.855475,0.127240,0.401641,0.534074,0.648241,32.966455,
19,7.159774,7.494713,0.769787,0.752574,0.650317,0.744937,0.847811,0.130594,0.405735,0.536904,0.648769,31.824186,
20,7.159774,7.159774,0.813952,0.770007,0.705685,0.798197,0.888484,0.144335,0.446973,0.584249,0.694961,40.894558,
21,7.211884,7.211884,0.773421,0.752629,0.657083,0.746339,0.852618,0.132647,0.409699,0.541446,0.654101,32.627153,
22,8.004170,8.924140,0.780051,0.756542,0.663323,0.753870,0.860245,0.130576,0.408576,0.540886,0.653691,34.399505,
23,8.004170,8.004170,0.773028,0.748072,0.650948,0.751896,0.853098,0.129950,0.411314,0.544363,0.657122,33.387480,
24,7.593330,8.061573,0.812714,0.767120,0.696663,0.799631,0.889777,0.142927,0.445638,0.583560,0.694879,41.088529,
25,7.593330,7.593330,0.772563,0.751272,0.659591,0.744082,0.852245,0.129867,0.410390,0.543432,0.655554,32.905949,
26,7.616158,7.701142,0.779648,0.750476,0.666956,0.753901,0.860493,0.129024,0.410326,0.542801,0.654501,34.031056,
27,7.616069,7.616158,0.773154,0.748320,0.657265,0.743286,0.857922,0.128915,0.409278,0.542593,0.656683,33.101105,
28,6.898648,7.616069,0.815550,0.769838,0.699222,0.802280,0.893932,0.145789,0.448796,0.586553,0.696302,40.991822,
29,6.898648,6.898648,0.770835,0.752324,0.650730,0.743875,0.852422,0.129274,0.407127,0.539885,0.652647,31.956772,
30,7.151423,7.539910,0.783105,0.760784,0.672828,0.759413,0.859171,0.133213,0.411366,0.543014,0.655132,34.170933,
31,7.079574,7.151423,0.774467,0.752158,0.658917,0.753974,0.851402,0.132778,0.413701,0.546239,0.656855,32.760327,
32,6.854707,7.079574,0.815086,0.776408,0.711040,0.800942,0.886307,0.147735,0.448827,0.586006,0.695632,40.814967,
33,6.854707,6.854707,0.762825,0.746392,0.635937,0.735967,0.846562,0.131746,0.405793,0.537542,0.648646,30.437297,
34,7.185770,7.185770,0.760536,0.728965,0.616567,0.739463,0.852313,0.125752,0.400176,0.532993,0.646232,30.399950,
35,7.783630,7.783630,0.754596,0.731598,0.621157,0.727950,0.844207,0.130531,0.409499,0.542870,0.654757,30.146790,
36,7.983915,7.983915,0.815267,0.780521,0.706736,0.801633,0.887284,0.148607,0.447909,0.584553,0.694028,41.746950,
37,8.082557,8.249361,0.767381,0.752517,0.649389,0.742514,0.846999,0.129049,0.405260,0.537740,0.650589,32.332783,
38,8.044311,8.082557,0.774018,0.755167,0.653858,0.754203,0.851263,0.128735,0.403827,0.535548,0.648371,33.288828,
39,8.044311,8.044311,0.767287,0.747265,0.650635,0.739108,0.849660,0.131280,0.411882,0.545356,0.657889,32.510952,
40,7.522001,8.055641,0.809755,0.767695,0.695153,0.797030,0.885991,0.144912,0.446586,0.584553,0.695509,40.531072,
41,7.289643,7.522001,0.764763,0.752733,0.652874,0.734374,0.843576,0.127742,0.403926,0.537738,0.650646,31.293462,
42,7.110875,7.289643,0.775643,0.755312,0.659858,0.750491,0.854084,0.128534,0.400682,0.533394,0.646768,32.754348,
43,7.110875,7.110875,0.759284,0.735145,0.632718,0.732192,0.845544,0.130508,0.406051,0.539506,0.652378,30.279959,
44,7.394004,7.394004,0.813990,0.778065,0.700469,0.800169,0.886754,0.148045,0.447236,0.585063,0.696087,41.144046,
45,7.938422,7.938422,0.773056,0.765356,0.663169,0.746783,0.846441,0.135292,0.410135,0.541564,0.651599,33.036732,
46,7.943675,8.060074,0.778814,0.759255,0.662635,0.755016,0.856465,0.131313,0.406797,0.537705,0.649364,33.951457,
47,7.943675,7.943675,0.772067,0.760776,0.657964,0.742894,0.849164,0.134100,0.409900,0.541997,0.654304,33.025993,
48,7.268027,8.278992,0.812007,0.777052,0.698085,0.792410,0.887971,0.146262,0.444654,0.581984,0.692869,40.553986,
49,7.268027,7.268027,0.754923,0.736465,0.622607,0.723732,0.842968,0.126530,0.399402,0.531613,0.645434,29.540079,
50,7.663664,7.663664,0.761229,0.742776,0.628325,0.729650,0.850945,0.123181,0.389264,0.521129,0.638233,30.762191,
51,8.609735,8.609735,0.756556,0.734947,0.619632,0.731202,0.844553,0.128351,0.403878,0.536403,0.650323,31.054671,
52,8.780776,8.780776,0.813175,0.779442,0.697953,0.800992,0.884828,0.147225,0.445234,0.582206,0.692295,42.028988,
53,8.837463,8.847064,0.770653,0.757674,0.657011,0.748011,0.844117,0.130400,0.403897,0.535415,0.647486,33.355738,
54,8.128787,8.837463,0.774421,0.759357,0.653543,0.753969,0.850825,0.128470,0.401171,0.532974,0.646752,33.396945,
55,7.403520,8.128787,0.767712,0.751622,0.649469,0.740187,0.847930,0.129348,0.403455,0.535405,0.648448,31.737353,
56,6.670798,7.403520,0.812232,0.781007,0.700796,0.792649,0.886564,0.147402,0.445384,0.582873,0.693511,40.089323,
57,6.670798,6.670798,0.768305,0.764675,0.657778,0.737390,0.843056,0.131865,0.405647,0.537759,0.649326,31.198707,
58,6.719867,6.719867,0.772609,0.760115,0.654002,0.746580,0.851285,0.130687,0.403188,0.535460,0.648102,31.930458,
59,7.165843,7.165843,0.764537,0.753467,0.642130,0.735854,0.846453,0.132775,0.407328,0.541084,0.654251,31.218094,
60,7.836376,7.836376,0.814498,0.790793,0.704974,0.800972,0.882320,0.149862,0.445203,0.583107,0.694116,41.521175,
61,8.044163,8.203473,0.768691,0.761837,0.655429,0.743063,0.842533,0.131847,0.406570,0.539313,0.651048,32.492128,
62,7.904835,8.044163,0.779132,0.769930,0.665821,0.744317,0.858951,0.132404,0.403168,0.534317,0.646632,33.895400,
63,7.669239,7.904835,0.772401,0.761779,0.656622,0.743619,0.849620,0.134307,0.407392,0.539690,0.652063,32.783794,
64,7.440561,7.669239,0.814852,0.786427,0.703586,0.801312,0.884056,0.149895,0.445293,0.581951,0.691413,41.075942,
65,7.365259,7.440561,0.774082,0.758134,0.660412,0.747293,0.850704,0.133091,0.409099,0.540620,0.649316,32.647776,
66,7.258964,7.365259,0.778955,0.763837,0.659741,0.753908,0.856431,0.132029,0.402693,0.534142,0.645093,33.264076,
67,7.258964,7.258964,0.764186,0.744335,0.635678,0.738926,0.847074,0.128878,0.401347,0.534276,0.647079,31.037280,
68,7.756057,7.756057,0.817304,0.787260,0.700809,0.801815,0.889826,0.150595,0.447070,0.585452,0.696925,42.066277,
69,7.881608,7.881608,0.771174,0.759612,0.655848,0.745178,0.846651,0.131485,0.403610,0.535285,0.646873,32.604019,
70,8.050058,8.050058,0.776934,0.770595,0.661795,0.748972,0.852201,0.132956,0.400890,0.531945,0.645047,33.619992,
71,8.039073,8.825236,0.767792,0.753135,0.646660,0.741205,0.848421,0.132281,0.408555,0.541533,0.654545,32.470790,
72,7.587069,8.039073,0.817620,0.791549,0.706906,0.800877,0.888069,0.151940,0.446314,0.584338,0.696261,41.928011,
73,6.971986,7.587069,0.758830,0.746285,0.635053,0.732260,0.840498,0.126079,0.395123,0.527490,0.642199,29.851433,
74,6.971986,6.971986,0.770724,0.756527,0.648065,0.748856,0.848505,0.130180,0.397712,0.528803,0.641804,31.638868,
75,7.054065,7.054065,0.767254,0.759180,0.645383,0.744922,0.842860,0.131878,0.402288,0.533667,0.646288,31.263084,
76,7.561130,7.795442,0.813791,0.777514,0.698631,0.799468,0.887930,0.146755,0.444051,0.582269,0.694046,41.191287,
77,7.561130,7.561130,0.759775,0.753513,0.644512,0.725112,0.840965,0.127329,0.399738,0.532985,0.646205,30.590529,
78,7.563766,7.563766,0.774138,0.763256,0.656655,0.743233,0.853215,0.130793,0.398923,0.530936,0.642738,32.713425,
79,8.109319,8.403214,0.766769,0.762363,0.643752,0.735274,0.848022,0.133853,0.407678,0.541608,0.652726,32.293321,
80,8.109319,8.109319,0.817054,0.790662,0.707162,0.801792,0.887416,0.149720,0.444583,0.583208,0.694144,42.217671,
81,8.353119,8.592018,0.772853,0.764178,0.654756,0.753395,0.844676,0.133040,0.404351,0.536354,0.647615,33.286677,
82,8.257866,8.353119,0.781685,0.770791,0.669852,0.760367,0.853249,0.133630,0.405574,0.538142,0.650191,34.743171,
83,8.185824,8.257866,0.770326,0.768677,0.657055,0.745935,0.842527,0.133444,0.405615,0.538582,0.651955,32.922136,
84,8.185824,8.185824,0.813193,0.792821,0.699126,0.798432,0.883282,0.148750,0.440594,0.578788,0.690582,41.470615,
85,7.560979,8.201887,0.763401,0.760137,0.650717,0.734181,0.839626,0.128416,0.395323,0.528256,0.644009,31.135202,
86,7.525544,7.560979,0.775111,0.764793,0.652148,0.754866,0.851060,0.127899,0.395753,0.528901,0.644739,33.017428,
87,7.434929,7.525544,0.769608,0.763701,0.649079,0.742309,0.847076,0.132178,0.403710,0.537188,0.651408,32.192990,
88,7.088059,7.434929,0.813689,0.782790,0.704748,0.798893,0.883694,0.147181,0.443146,0.581923,0.695750,40.858728,
89,7.088059,7.088059,0.773238,0.771799,0.665844,0.745776,0.843475,0.134434,0.406202,0.538159,0.651590,32.418932,
90,7.011682,7.107741,0.783438,0.776790,0.674962,0.762312,0.850622,0.136255,0.407131,0.538270,0.651686,33.978234,
91,7.011682,7.011682,0.770837,0.757765,0.657759,0.747766,0.843815,0.134163,0.410094,0.543317,0.656894,32.165282,
92,6.899600,7.133701,0.810434,0.777337,0.689642,0.800370,0.883204,0.145750,0.441115,0.579233,0.690824,39.903715,
93,6.823380,6.899600,0.765480,0.753977,0.642824,0.740048,0.845264,0.128656,0.401921,0.535378,0.649211,30.972513,
94,6.823380,6.823380,0.773945,0.758104,0.655779,0.747181,0.852829,0.127953,0.399180,0.532624,0.647492,32.308072,
95,6.841225,6.841225,0.768460,0.752759,0.651348,0.736836,0.850020,0.128871,0.402792,0.536464,0.650612,31.515900,
96,6.845784,7.036491,0.815293,0.774750,0.704470,0.797176,0.891090,0.143326,0.440482,0.580384,0.693667,40.882056,
97,6.845784,6.845784,0.773391,0.752406,0.658142,0.748319,0.850482,0.129900,0.403430,0.536349,0.650329,32.274638,
98,7.081539,7.162941,0.782042,0.757211,0.663135,0.762191,0.858395,0.130302,0.403103,0.534986,0.648661,33.791000,
99,6.896131,7.081539,0.775155,0.758217,0.649767,0.750256,0.855628,0.130999,0.403784,0.535993,0.650258,32.576241,
100,6.766484,6.896131,0.816382,0.785262,0.697664,0.801554,0.889223,0.146883,0.439651,0.576983,0.688020,40.651749,
101,6.766484,6.766484,0.762724,0.758389,0.634695,0.733141,0.843829,0.127528,0.394412,0.526064,0.640177,30.201827,
