Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.893456,0.851824,0.818932,0.894645,0.939110,0.229243,0.630796,0.760015,0.840923,57.356861,
1,7.243034,7.978626,0.873148,0.829914,0.796663,0.868319,0.925596,0.208368,0.585955,0.718233,0.806940,57.993442,
2,6.722310,7.243034,0.874843,0.828974,0.799404,0.869330,0.928114,0.205184,0.586663,0.719782,0.807955,57.931244,
3,6.678193,6.722310,0.870343,0.822807,0.791451,0.866466,0.924428,0.200663,0.579417,0.712312,0.803415,56.678238,
4,6.678193,6.678193,0.876303,0.828429,0.798566,0.873344,0.929548,0.203595,0.596548,0.730514,0.817153,58.920000,
5,7.010418,7.010418,0.869758,0.821926,0.795960,0.863464,0.923110,0.200285,0.577740,0.712822,0.802620,56.873667,
6,7.241679,7.241679,0.874522,0.829566,0.802378,0.868291,0.925661,0.201494,0.580209,0.715480,0.804644,58.150718,
7,7.735896,7.828122,0.870206,0.824843,0.791915,0.864675,0.924093,0.198483,0.575677,0.710613,0.801400,57.548240,
8,7.570023,7.735896,0.880031,0.836512,0.803935,0.874340,0.932084,0.206083,0.595757,0.730076,0.815705,60.376884,
9,7.570023,7.570023,0.871919,0.823947,0.793658,0.865824,0.926020,0.197864,0.571231,0.707520,0.799363,57.575597,
10,7.518906,8.707140,0.871583,0.824625,0.793387,0.868116,0.924365,0.197507,0.576101,0.712663,0.803924,57.816009,
11,7.518906,7.518906,0.872497,0.822844,0.787885,0.867943,0.929585,0.197172,0.574383,0.711157,0.802409,57.880379,
12,7.596154,7.596154,0.879604,0.831139,0.799038,0.877345,0.932335,0.202284,0.593133,0.729036,0.816164,60.374257,
13,6.828079,8.209648,0.868606,0.822463,0.790551,0.863963,0.921527,0.197716,0.570831,0.707068,0.799536,56.256015,
14,6.828079,6.828079,0.875969,0.839445,0.801932,0.872025,0.923671,0.204827,0.579264,0.714535,0.804513,57.994735,
15,7.126468,7.126468,0.870721,0.826982,0.797206,0.864094,0.922434,0.201372,0.574815,0.710069,0.801474,57.058379,
16,7.366617,7.366617,0.880894,0.838427,0.809556,0.874456,0.930405,0.207286,0.593487,0.728845,0.815546,60.328646,
17,7.704254,8.125947,0.871668,0.831106,0.793258,0.864872,0.923699,0.201443,0.571867,0.707720,0.798772,57.595034,
18,7.494713,7.704254,0.873168,0.830510,0.795951,0.867035,0.924778,0.199786,0.575824,0.711942,0.802069,57.949359,
19,7.159774,7.494713,0.873769,0.835523,0.804035,0.867067,0.921169,0.202681,0.574511,0.710196,0.801295,57.655941,
20,7.159774,7.159774,0.875850,0.828211,0.805042,0.872463,0.924667,0.201693,0.591681,0.727342,0.814235,59.095078,
21,7.211884,7.211884,0.871081,0.829228,0.798015,0.862414,0.922517,0.202664,0.571464,0.707196,0.799493,57.050891,
22,8.004170,8.924140,0.870983,0.825580,0.796053,0.864759,0.922951,0.198054,0.573623,0.710304,0.800986,57.945191,
23,8.004170,8.004170,0.870099,0.824773,0.791357,0.865854,0.922796,0.197869,0.574453,0.710881,0.803114,57.915752,
24,7.593330,8.061573,0.874440,0.828610,0.796497,0.870453,0.926808,0.199750,0.590396,0.726756,0.815189,59.310464,
25,7.593330,7.593330,0.866858,0.823330,0.788834,0.858188,0.921709,0.196252,0.569680,0.708033,0.801236,56.805576,
26,7.616158,7.701142,0.867210,0.819834,0.792733,0.859293,0.921699,0.194205,0.573651,0.712101,0.802251,57.014796,
27,7.616069,7.616158,0.868938,0.821208,0.792569,0.863296,0.923058,0.196269,0.573279,0.711305,0.803205,57.374576,
28,6.898648,7.616069,0.876296,0.828863,0.801493,0.872490,0.928188,0.201806,0.591951,0.728438,0.815235,59.021158,
29,6.898648,6.898648,0.868947,0.825032,0.792126,0.862590,0.921833,0.198715,0.571639,0.708565,0.799818,56.426207,
30,7.151423,7.539910,0.874263,0.829307,0.799543,0.869084,0.925879,0.200659,0.577243,0.714239,0.804455,58.018258,
31,7.079574,7.151423,0.868598,0.826562,0.792100,0.863381,0.920833,0.199898,0.575349,0.711675,0.801953,56.685557,
32,6.854707,7.079574,0.877333,0.835287,0.805288,0.872031,0.927507,0.204676,0.591995,0.727393,0.814668,59.096363,
33,6.854707,6.854707,0.869385,0.833137,0.794385,0.859689,0.921462,0.205270,0.574094,0.711477,0.803007,56.671942,
34,7.185770,7.185770,0.869816,0.826319,0.793279,0.863620,0.922147,0.200932,0.575623,0.713387,0.804588,57.217603,
35,7.783630,7.783630,0.869184,0.823883,0.790494,0.865596,0.921587,0.202010,0.576789,0.714608,0.806897,57.818244,
36,7.983915,7.983915,0.878943,0.838398,0.807691,0.875253,0.927074,0.206916,0.593230,0.728807,0.815057,60.514663,
37,8.082557,8.249361,0.866873,0.823696,0.789483,0.863156,0.918701,0.199760,0.570841,0.708788,0.801241,57.252084,
38,8.044311,8.082557,0.870531,0.827165,0.791914,0.865577,0.923586,0.198423,0.573976,0.711450,0.803766,58.095494,
39,8.044311,8.044311,0.868637,0.820099,0.793591,0.860413,0.924053,0.198037,0.573221,0.712048,0.805485,57.874721,
40,7.522001,8.055641,0.875956,0.828373,0.799867,0.872385,0.928356,0.203253,0.594774,0.731299,0.817110,59.703838,
41,7.289643,7.522001,0.866675,0.826278,0.789755,0.857847,0.920671,0.198498,0.569305,0.706725,0.798379,56.266630,
42,7.110875,7.289643,0.873208,0.835735,0.799362,0.862502,0.925936,0.202049,0.576291,0.713412,0.803456,57.701643,
43,7.110875,7.110875,0.869344,0.828178,0.793750,0.862833,0.920935,0.201806,0.574192,0.711887,0.802634,56.911447,
44,7.394004,7.394004,0.877409,0.838022,0.800300,0.868899,0.930265,0.206012,0.591852,0.728212,0.815097,59.670980,
45,7.938422,7.938422,0.868502,0.833170,0.792924,0.862340,0.918126,0.205427,0.572190,0.709345,0.800995,57.375246,
46,7.943675,8.060074,0.868387,0.827214,0.791412,0.863334,0.919488,0.199655,0.572699,0.710034,0.802145,57.469743,
47,7.943675,7.943675,0.870010,0.833293,0.795247,0.862042,0.920143,0.203388,0.573104,0.710506,0.802200,57.767613,
48,7.268027,8.278992,0.875533,0.836711,0.800572,0.867274,0.926369,0.205064,0.591535,0.728266,0.814737,59.180510,
49,7.268027,7.268027,0.865715,0.825640,0.788619,0.854633,0.919717,0.198580,0.569358,0.707878,0.801694,56.301569,
50,7.663664,7.663664,0.871118,0.831965,0.795478,0.863455,0.922287,0.200776,0.575014,0.713607,0.806405,58.045496,
51,8.609735,8.609735,0.868940,0.828141,0.790148,0.859411,0.923485,0.198415,0.570371,0.709177,0.802946,58.264825,
52,8.780776,8.780776,0.877569,0.838686,0.802730,0.869709,0.928652,0.205717,0.592622,0.729207,0.816276,61.105311,
53,8.837463,8.847064,0.867430,0.827550,0.784458,0.862585,0.920514,0.200337,0.568761,0.706632,0.799824,57.944223,
54,8.128787,8.837463,0.869593,0.829218,0.793013,0.861856,0.922543,0.198533,0.573085,0.711885,0.802694,57.954043,
55,7.403520,8.128787,0.867704,0.826849,0.791715,0.860638,0.919647,0.197546,0.570061,0.708988,0.802083,56.851953,
56,6.670798,7.403520,0.875694,0.837223,0.797984,0.868384,0.927356,0.204933,0.591053,0.728064,0.815977,58.722185,
57,6.670798,6.670798,0.865355,0.831645,0.785633,0.856935,0.917372,0.202001,0.571178,0.708786,0.800318,55.560066,
58,6.719867,6.719867,0.869795,0.830212,0.793424,0.861516,0.922700,0.202135,0.574719,0.712891,0.803331,56.686142,
59,7.165843,7.165843,0.871336,0.834248,0.791079,0.862905,0.925357,0.203876,0.573604,0.712046,0.802442,57.329837,
60,7.836376,7.836376,0.880692,0.847025,0.808542,0.875121,0.927716,0.210126,0.593295,0.730153,0.815070,60.732024,
61,8.044163,8.203473,0.867903,0.828927,0.789758,0.860396,0.920513,0.202014,0.572798,0.711944,0.803940,57.622748,
62,7.904835,8.044163,0.872071,0.835406,0.795405,0.860809,0.925151,0.203827,0.574146,0.711368,0.801786,58.100063,
63,7.669239,7.904835,0.872441,0.834210,0.793705,0.862415,0.926148,0.204843,0.573865,0.712299,0.804198,58.123588,
64,7.440561,7.669239,0.878371,0.841378,0.804189,0.870724,0.928318,0.209625,0.592432,0.728918,0.815428,59.914393,
65,7.365259,7.440561,0.867428,0.826741,0.787427,0.857109,0.922981,0.201420,0.570564,0.708809,0.801042,56.666201,
66,7.258964,7.365259,0.873269,0.835210,0.792241,0.867099,0.925297,0.203857,0.575081,0.712999,0.803543,57.856691,
67,7.258964,7.258964,0.869669,0.827217,0.786748,0.864994,0.922424,0.200764,0.571215,0.709341,0.800877,56.985433,
68,7.756057,7.756057,0.878211,0.841243,0.800110,0.871152,0.928825,0.209307,0.592066,0.729010,0.815824,60.218302,
69,7.881608,7.881608,0.865055,0.824379,0.786200,0.855578,0.919289,0.201432,0.567829,0.705751,0.798091,56.482622,
70,8.050058,8.050058,0.871900,0.840491,0.794962,0.862366,0.922656,0.207423,0.577532,0.714893,0.804095,58.376656,
71,8.039073,8.825236,0.863464,0.818993,0.777223,0.857943,0.920083,0.198800,0.569197,0.707544,0.799856,56.480235,
72,7.587069,8.039073,0.876929,0.843702,0.802884,0.869178,0.925698,0.211662,0.591769,0.728092,0.815670,59.770518,
73,6.971986,7.587069,0.861395,0.820346,0.778526,0.854084,0.917101,0.197361,0.567088,0.706427,0.799392,55.070862,
74,6.971986,6.971986,0.868380,0.831465,0.789249,0.864211,0.918547,0.202343,0.572304,0.710876,0.803776,56.668449,
75,7.054065,7.054065,0.868291,0.830878,0.792670,0.863737,0.917013,0.202683,0.570628,0.709003,0.802461,56.621055,
76,7.561130,7.795442,0.875179,0.834491,0.797245,0.869042,0.927093,0.204757,0.589476,0.726773,0.815470,59.427495,
77,7.561130,7.561130,0.860680,0.821824,0.777867,0.851176,0.916906,0.198120,0.567848,0.707012,0.801300,55.609691,
78,7.563766,7.563766,0.869946,0.835823,0.793553,0.858171,0.922489,0.205309,0.575122,0.713717,0.805276,57.636977,
79,8.109319,8.403214,0.868762,0.836100,0.786933,0.861740,0.920475,0.205018,0.572845,0.711602,0.804742,57.872271,
80,8.109319,8.109319,0.876485,0.844942,0.799646,0.868130,0.927503,0.208795,0.591472,0.729382,0.817192,60.331995,
81,8.353119,8.592018,0.865055,0.828904,0.784683,0.860067,0.915897,0.202970,0.569167,0.708638,0.802322,57.235899,
82,8.257866,8.353119,0.869758,0.832245,0.794064,0.863425,0.920318,0.202391,0.569976,0.709717,0.803431,58.122531,
83,8.185824,8.257866,0.867159,0.833772,0.787936,0.859268,0.919556,0.202247,0.568018,0.706595,0.801369,57.383392,
84,8.185824,8.185824,0.876762,0.847417,0.799190,0.870852,0.925518,0.209421,0.588848,0.726119,0.814712,60.240660,
85,7.560979,8.201887,0.863875,0.828995,0.786466,0.857195,0.915002,0.200619,0.564504,0.703906,0.798756,56.008608,
86,7.525544,7.560979,0.870706,0.830786,0.789644,0.869411,0.920594,0.200289,0.570912,0.709912,0.803581,57.624705,
87,7.434929,7.525544,0.869923,0.830719,0.787387,0.864510,0.922547,0.202378,0.569535,0.708230,0.801542,57.228977,
88,7.088059,7.434929,0.877026,0.837546,0.801649,0.868766,0.928896,0.205318,0.587202,0.725024,0.812946,59.148602,
89,7.088059,7.088059,0.868935,0.836632,0.792351,0.860653,0.919016,0.204082,0.569175,0.707932,0.801322,56.689760,
90,7.011682,7.107741,0.874615,0.839648,0.797614,0.867470,0.924528,0.205094,0.574106,0.712650,0.804775,57.953289,
91,7.011682,7.011682,0.869975,0.826139,0.794134,0.862693,0.922277,0.200762,0.571004,0.709497,0.801688,56.867427,
92,6.899600,7.133701,0.875265,0.834609,0.794086,0.871843,0.926669,0.203700,0.585966,0.722637,0.809606,58.380893,
93,6.823380,6.899600,0.864697,0.826282,0.778258,0.858652,0.920227,0.198149,0.568082,0.707109,0.799459,55.552319,
94,6.823380,6.823380,0.869813,0.830949,0.792308,0.861393,0.922492,0.197795,0.569776,0.708428,0.799732,56.542214,
95,6.841225,6.841225,0.867186,0.824903,0.790520,0.858388,0.920482,0.197543,0.568244,0.707648,0.800448,56.113682,
96,6.845784,7.036491,0.875549,0.832984,0.799548,0.866857,0.928772,0.200769,0.585950,0.724453,0.813254,58.681266,
97,6.845784,6.845784,0.866818,0.822575,0.788761,0.859066,0.920402,0.197751,0.566312,0.705819,0.799548,55.973406,
98,7.081539,7.162941,0.871637,0.824406,0.790255,0.867458,0.925093,0.197341,0.569941,0.709497,0.803100,57.369813,
99,6.896131,7.081539,0.872673,0.828764,0.787530,0.869174,0.926035,0.199964,0.570121,0.709765,0.804667,57.478867,
100,6.766484,6.896131,0.877900,0.844902,0.797269,0.873559,0.926281,0.206537,0.587620,0.725383,0.814352,59.095735,
101,6.766484,6.766484,0.867618,0.833975,0.784605,0.859878,0.919984,0.200385,0.566599,0.705416,0.800091,56.053372,
102,6.853889,6.853889,0.870555,0.835097,0.792623,0.861137,0.921987,0.201385,0.571127,0.709977,0.802077,56.858952,
103,7.268418,7.268418,0.869097,0.834569,0.787751,0.863660,0.919948,0.201806,0.570202,0.708373,0.800216,56.829606,
104,8.003904,8.003904,0.878713,0.840052,0.797322,0.876119,0.928456,0.207219,0.591737,0.729384,0.817481,60.680531,
105,8.568361,8.756745,0.868552,0.828594,0.787471,0.860529,0.922713,0.200303,0.568451,0.706955,0.799122,57.874831,
106,7.529333,8.568361,0.870625,0.831739,0.793042,0.864427,0.922317,0.200258,0.572625,0.711174,0.801311,57.478265,
107,6.691911,7.529333,0.868765,0.826754,0.789354,0.863531,0.921432,0.200250,0.569668,0.708935,0.800725,56.283823,
108,6.691911,6.691911,0.879589,0.841363,0.803879,0.875480,0.927857,0.208069,0.591248,0.728431,0.815599,59.452476,
109,6.685658,7.023960,0.866999,0.825559,0.785970,0.860695,0.920717,0.198674,0.567861,0.705875,0.799301,55.813069,
110,6.685658,6.685658,0.874807,0.837112,0.797358,0.867224,0.926230,0.201797,0.572139,0.710921,0.803020,57.569147,
111,6.698497,6.698497,0.873016,0.834352,0.794121,0.865736,0.925045,0.202218,0.571715,0.711564,0.805103,57.394978,
112,6.983745,7.002684,0.876582,0.837800,0.798148,0.875124,0.924395,0.204079,0.588567,0.726551,0.813674,59.040102,
113,6.983745,6.983745,0.865313,0.828542,0.787291,0.860231,0.915084,0.198188,0.567365,0.706734,0.800500,55.885683,
114,7.104592,7.104592,0.870159,0.830639,0.794844,0.863938,0.920432,0.198791,0.570267,0.709804,0.802527,57.072352,
115,7.042561,7.308204,0.867623,0.827057,0.790592,0.861061,0.919539,0.197802,0.567955,0.706760,0.799436,56.302765,
116,6.767022,7.042561,0.875553,0.836534,0.800255,0.869441,0.925305,0.203020,0.586553,0.724489,0.811825,58.496279,
117,6.611560,6.767022,0.867108,0.825152,0.789822,0.857275,0.921437,0.199155,0.566106,0.704777,0.798316,55.697697,
118,6.611560,6.611560,0.870316,0.829523,0.798725,0.861354,0.921253,0.198500,0.570006,0.709659,0.802056,56.606610,
119,6.817362,6.817362,0.866354,0.826421,0.791834,0.855019,0.920513,0.197982,0.568190,0.707922,0.800922,55.969854,
120,6.940044,6.940044,0.873895,0.835251,0.797772,0.867060,0.925140,0.202444,0.586977,0.725888,0.814702,58.565199,
121,7.110772,7.174788,0.863313,0.826932,0.783255,0.850909,0.919449,0.198763,0.566809,0.705424,0.798685,55.488264,
122,6.985258,7.110772,0.868450,0.831250,0.793264,0.860711,0.919224,0.197430,0.571062,0.709862,0.801228,56.552544,
123,6.826896,6.985258,0.868398,0.835125,0.791545,0.857266,0.921475,0.200418,0.571129,0.710378,0.802893,56.493523,
124,6.826896,6.826896,0.875039,0.835056,0.799718,0.868654,0.926227,0.201445,0.588717,0.727919,0.816147,58.804160,
125,7.005764,7.005764,0.867952,0.825881,0.790281,0.858183,0.922870,0.196936,0.567868,0.707691,0.800863,56.449398,
126,7.708980,7.708980,0.872167,0.829004,0.792405,0.861623,0.928528,0.196587,0.571224,0.711476,0.803352,58.114382,
127,8.072026,8.072026,0.871780,0.828248,0.794942,0.863780,0.924378,0.197387,0.569047,0.708932,0.802725,58.303419,
