n:1 mse_avg:1.57 mse_y:1.64 mse_u:1.43 mse_v:1.43 psnr_avg:46.18 psnr_y:45.99 psnr_u:46.57 psnr_v:46.59 
n:2 mse_avg:9.35 mse_y:11.21 mse_u:6.74 mse_v:4.53 psnr_avg:38.42 psnr_y:37.63 psnr_u:39.84 psnr_v:41.57 
n:3 mse_avg:8.29 mse_y:9.57 mse_u:6.58 mse_v:4.87 psnr_avg:38.95 psnr_y:38.32 psnr_u:39.95 psnr_v:41.26 
n:4 mse_avg:9.79 mse_y:11.43 mse_u:7.61 mse_v:5.44 psnr_avg:38.22 psnr_y:37.55 psnr_u:39.32 psnr_v:40.77 
n:5 mse_avg:6.76 mse_y:7.66 mse_u:5.42 mse_v:4.49 psnr_avg:39.83 psnr_y:39.29 psnr_u:40.79 psnr_v:41.61 
n:6 mse_avg:9.43 mse_y:11.04 mse_u:7.19 mse_v:5.21 psnr_avg:38.39 psnr_y:37.70 psnr_u:39.56 psnr_v:40.97 
n:7 mse_avg:7.94 mse_y:9.09 mse_u:6.39 mse_v:4.89 psnr_avg:39.13 psnr_y:38.55 psnr_u:40.08 psnr_v:41.24 
n:8 mse_avg:9.39 mse_y:10.93 mse_u:7.35 mse_v:5.26 psnr_avg:38.41 psnr_y:37.75 psnr_u:39.47 psnr_v:40.92 
n:9 mse_avg:4.42 mse_y:4.95 mse_u:3.48 mse_v:3.21 psnr_avg:41.68 psnr_y:41.19 psnr_u:42.71 psnr_v:43.06 
n:10 mse_avg:8.87 mse_y:10.50 mse_u:6.50 mse_v:4.68 psnr_avg:38.65 psnr_y:37.92 psnr_u:40.00 psnr_v:41.43 
n:11 mse_avg:4.52 mse_y:5.06 mse_u:3.58 mse_v:3.32 psnr_avg:41.58 psnr_y:41.09 psnr_u:42.60 psnr_v:42.92 
n:12 mse_avg:8.94 mse_y:10.52 mse_u:6.79 mse_v:4.77 psnr_avg:38.62 psnr_y:37.91 psnr_u:39.81 psnr_v:41.35 
n:13 mse_avg:6.79 mse_y:7.68 mse_u:5.56 mse_v:4.47 psnr_avg:39.81 psnr_y:39.28 psnr_u:40.68 psnr_v:41.63 
n:14 mse_avg:9.96 mse_y:11.62 mse_u:7.78 mse_v:5.51 psnr_avg:38.15 psnr_y:37.48 psnr_u:39.22 psnr_v:40.72 
n:15 mse_avg:8.80 mse_y:10.05 mse_u:7.16 mse_v:5.45 psnr_avg:38.68 psnr_y:38.11 psnr_u:39.58 psnr_v:40.77 
n:16 mse_avg:10.44 mse_y:12.08 mse_u:8.36 mse_v:5.96 psnr_avg:37.94 psnr_y:37.31 psnr_u:38.91 psnr_v:40.38 
n:17 mse_avg:4.80 mse_y:5.34 mse_u:3.86 mse_v:3.57 psnr_avg:41.32 psnr_y:40.86 psnr_u:42.26 psnr_v:42.61 
n:18 mse_avg:10.04 mse_y:11.85 mse_u:7.48 mse_v:5.38 psnr_avg:38.11 psnr_y:37.39 psnr_u:39.39 psnr_v:40.82 
n:19 mse_avg:8.79 mse_y:10.02 mse_u:7.14 mse_v:5.51 psnr_avg:38.69 psnr_y:38.12 psnr_u:39.59 psnr_v:40.72 
n:20 mse_avg:10.45 mse_y:12.05 mse_u:8.37 mse_v:6.10 psnr_avg:37.94 psnr_y:37.32 psnr_u:38.91 psnr_v:40.28 
n:21 mse_avg:4.64 mse_y:5.13 mse_u:3.81 mse_v:3.55 psnr_avg:41.46 psnr_y:41.03 psnr_u:42.33 psnr_v:42.63 
n:22 mse_avg:9.96 mse_y:11.65 mse_u:7.66 mse_v:5.50 psnr_avg:38.15 psnr_y:37.47 psnr_u:39.29 psnr_v:40.73 
n:23 mse_avg:9.12 mse_y:10.36 mse_u:7.43 mse_v:5.83 psnr_avg:38.53 psnr_y:37.98 psnr_u:39.42 psnr_v:40.48 
n:24 mse_avg:11.16 mse_y:12.82 mse_u:9.02 mse_v:6.67 psnr_avg:37.65 psnr_y:37.05 psnr_u:38.58 psnr_v:39.89 
n:25 mse_avg:5.05 mse_y:5.57 mse_u:4.15 mse_v:3.90 psnr_avg:41.09 psnr_y:40.67 psnr_u:41.95 psnr_v:42.22 
n:26 mse_avg:11.13 mse_y:13.01 mse_u:8.60 mse_v:6.12 psnr_avg:37.67 psnr_y:36.99 psnr_u:38.79 psnr_v:40.26 
n:27 mse_avg:9.91 mse_y:11.16 mse_u:8.33 mse_v:6.47 psnr_avg:38.17 psnr_y:37.65 psnr_u:38.92 psnr_v:40.02 
n:28 mse_avg:12.19 mse_y:13.92 mse_u:10.20 mse_v:7.28 psnr_avg:37.27 psnr_y:36.69 psnr_u:38.04 psnr_v:39.51 
n:29 mse_avg:8.34 mse_y:9.17 mse_u:7.25 mse_v:6.12 psnr_avg:38.92 psnr_y:38.51 psnr_u:39.53 psnr_v:40.26 
