n:1 mse_avg:2.88 mse_y:3.11 mse_u:2.46 mse_v:2.38 psnr_avg:43.53 psnr_y:43.20 psnr_u:44.22 psnr_v:44.36 
n:2 mse_avg:13.22 mse_y:16.34 mse_u:8.67 mse_v:5.29 psnr_avg:36.92 psnr_y:36.00 psnr_u:38.75 psnr_v:40.90 
n:3 mse_avg:12.50 mse_y:14.87 mse_u:9.49 mse_v:6.06 psnr_avg:37.16 psnr_y:36.41 psnr_u:38.36 psnr_v:40.31 
n:4 mse_avg:14.54 mse_y:17.47 mse_u:10.79 mse_v:6.58 psnr_avg:36.50 psnr_y:35.71 psnr_u:37.80 psnr_v:39.95 
n:5 mse_avg:10.33 mse_y:11.93 mse_u:8.34 mse_v:5.90 psnr_avg:37.99 psnr_y:37.36 psnr_u:38.92 psnr_v:40.42 
n:6 mse_avg:13.87 mse_y:16.62 mse_u:10.36 mse_v:6.39 psnr_avg:36.71 psnr_y:35.93 psnr_u:37.98 psnr_v:40.07 
n:7 mse_avg:12.11 mse_y:14.15 mse_u:9.81 mse_v:6.24 psnr_avg:37.30 psnr_y:36.62 psnr_u:38.21 psnr_v:40.18 
n:8 mse_avg:13.94 mse_y:16.59 mse_u:10.81 mse_v:6.51 psnr_avg:36.69 psnr_y:35.93 psnr_u:37.79 psnr_v:39.99 
n:9 mse_avg:6.76 mse_y:7.56 mse_u:5.63 mse_v:4.64 psnr_avg:39.83 psnr_y:39.34 psnr_u:40.63 psnr_v:41.46 
n:10 mse_avg:12.61 mse_y:15.21 mse_u:8.94 mse_v:5.86 psnr_avg:37.13 psnr_y:36.31 psnr_u:38.62 psnr_v:40.45 
n:11 mse_avg:7.07 mse_y:7.95 mse_u:5.78 mse_v:4.80 psnr_avg:39.64 psnr_y:39.12 psnr_u:40.51 psnr_v:41.32 
n:12 mse_avg:12.58 mse_y:15.12 mse_u:9.16 mse_v:5.88 psnr_avg:37.13 psnr_y:36.34 psnr_u:38.51 psnr_v:40.44 
n:13 mse_avg:10.16 mse_y:11.70 mse_u:8.31 mse_v:5.85 psnr_avg:38.06 psnr_y:37.45 psnr_u:38.94 psnr_v:40.46 
n:14 mse_avg:14.61 mse_y:17.46 mse_u:11.01 mse_v:6.83 psnr_avg:36.48 psnr_y:35.71 psnr_u:37.71 psnr_v:39.79 
n:15 mse_avg:13.54 mse_y:15.85 mse_u:10.78 mse_v:7.06 psnr_avg:36.81 psnr_y:36.13 psnr_u:37.80 psnr_v:39.64 
n:16 mse_avg:15.69 mse_y:18.68 mse_u:12.00 mse_v:7.43 psnr_avg:36.17 psnr_y:35.42 psnr_u:37.34 psnr_v:39.42 
n:17 mse_avg:7.75 mse_y:8.66 mse_u:6.46 mse_v:5.41 psnr_avg:39.24 psnr_y:38.76 psnr_u:40.03 psnr_v:40.80 
n:18 mse_avg:14.83 mse_y:17.91 mse_u:10.46 mse_v:6.85 psnr_avg:36.42 psnr_y:35.60 psnr_u:37.93 psnr_v:39.77 
n:19 mse_avg:13.66 mse_y:15.95 mse_u:10.93 mse_v:7.21 psnr_avg:36.78 psnr_y:36.10 psnr_u:37.74 psnr_v:39.55 
n:20 mse_avg:15.90 mse_y:18.83 mse_u:12.34 mse_v:7.70 psnr_avg:36.12 psnr_y:35.38 psnr_u:37.22 psnr_v:39.26 
n:21 mse_avg:7.56 mse_y:8.39 mse_u:6.39 mse_v:5.40 psnr_avg:39.35 psnr_y:38.89 psnr_u:40.08 psnr_v:40.80 
n:22 mse_avg:14.70 mse_y:17.54 mse_u:11.01 mse_v:7.00 psnr_avg:36.46 psnr_y:35.69 psnr_u:37.71 psnr_v:39.68 
n:23 mse_avg:14.33 mse_y:16.66 mse_u:11.62 mse_v:7.69 psnr_avg:36.57 psnr_y:35.91 psnr_u:37.48 psnr_v:39.27 
n:24 mse_avg:17.13 mse_y:20.19 mse_u:13.51 mse_v:8.49 psnr_avg:35.79 psnr_y:35.08 psnr_u:36.83 psnr_v:38.84 
n:25 mse_avg:8.45 mse_y:9.35 mse_u:7.18 mse_v:6.11 psnr_avg:38.86 psnr_y:38.42 psnr_u:39.57 psnr_v:40.27 
n:26 mse_avg:16.87 mse_y:20.28 mse_u:12.24 mse_v:7.87 psnr_avg:35.86 psnr_y:35.06 psnr_u:37.25 psnr_v:39.17 
n:27 mse_avg:15.72 mse_y:18.18 mse_u:13.07 mse_v:8.55 psnr_avg:36.17 psnr_y:35.54 psnr_u:36.97 psnr_v:38.81 
n:28 mse_avg:18.87 mse_y:22.18 mse_u:15.25 mse_v:9.28 psnr_avg:35.37 psnr_y:34.67 psnr_u:36.30 psnr_v:38.46 
n:29 mse_avg:13.60 mse_y:15.25 mse_u:11.96 mse_v:8.61 psnr_avg:36.80 psnr_y:36.30 psnr_u:37.35 psnr_v:38.78 
n:30 mse_avg:19.45 mse_y:22.86 mse_u:15.58 mse_v:9.66 psnr_avg:35.24 psnr_y:34.54 psnr_u:36.20 psnr_v:38.28 
n:31 mse_avg:9.00 mse_y:9.74 mse_u:8.19 mse_v:6.85 psnr_avg:38.59 psnr_y:38.24 psnr_u:39.00 psnr_v:39.77 
n:32 mse_avg:18.55 mse_y:22.23 mse_u:13.65 mse_v:8.75 psnr_avg:35.45 psnr_y:34.66 psnr_u:36.78 psnr_v:38.71 
n:33 mse_avg:9.43 mse_y:10.28 mse_u:8.47 mse_v:6.95 psnr_avg:38.39 psnr_y:38.01 psnr_u:38.85 psnr_v:39.71 
n:34 mse_avg:18.95 mse_y:22.66 mse_u:14.18 mse_v:8.88 psnr_avg:35.35 psnr_y:34.58 psnr_u:36.61 psnr_v:38.65 
n:35 mse_avg:17.77 mse_y:20.52 mse_u:14.97 mse_v:9.57 psnr_avg:35.63 psnr_y:35.01 psnr_u:36.38 psnr_v:38.32 
n:36 mse_avg:20.41 mse_y:23.95 mse_u:16.63 mse_v:10.06 psnr_avg:35.03 psnr_y:34.34 psnr_u:35.92 psnr_v:38.11 
